Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EE,Internal,EEDAO Estimator,Madhusmita Dalei,31-Jan-2026 10:52 AM,techsummary_568368.pdf (634.98 KB),Finance,All bidders are accepted,Madhusmita Dalei,31-Jan-2026 10:49 AM,finance_568368.pdf,BOQ Comparative Chart,11-Mar-2026,"INR 1,071,459",30.0,Madhusmita Dalei,11-Mar-2026 11:01 AM,2066.pdf (449.00 KB),He is submitted EMD at the time of agreement,EE,Internal,EE DAO estimator,Madhusmita Dalei,31-Jan-2026 10:55 AM,finsummary_568368.pdf (634.98 KB),1.0,3276117.0,Amit Bansal,INR,"1,071,459",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,2025_CERWI_121572_148,Online Tender07/EERW Division Boudh 2025-26,Repairto 100 men Barrak III at 5th India Reserve BattalionBoudh for the year 2025-26,1,3276117,Amit Bansal,05-Dec-2025 01:16 PM,Accepted-AOC,He is submitted EMD at the time of agreement,11-Mar-2026 11:02 AM,AOC,1.0,ICICI BANK,"6,720",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,PAN,GSTIN towards paper cost EMD affidvit other documents asper DTCN",01-Dec-2025 10:00 AM,06-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,01-Dec-2025 10:00 AM ,04-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,Online Tender07/EERW Division Boudh 2025-26,2025_CERWI_121572_148,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EERW Division Boudh,O/o SERW Division Boudh,"4,000",0.0,Nil,Nil,No,Repairto 100 men Barrak III at 5th India Reserve BattalionBoudh for the year 2025-26,Repairto 100 men Barrak III at 5th India Reserve BattalionBoudh for the year 2025-26,Please refer DTCN ,NA ,"6,72,214",Civil Works - Buildings,NA ,Tender,90.0,30.0,O/o SERWDivision Boudh,762014.0,NA ,NA ,NA ,O/o SERWDivision Boudh,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3283449,ASHUTOSH MAHAPATRA,05-Dec-2025 11:50 PM,Rejected-Technical,Disqualified,31-Jan-2026 10:52 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3275999,BIBEKA BARIK,05-Dec-2025 01:32 AM,Rejected-Technical,Disqulified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3270552,Biswanath Patra,04-Dec-2025 02:12 AM,Rejected-Technical,Disqualified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,.pdf,Valid e mail ID and phone number are mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3280388,GOBINDA MEHER,05-Dec-2025 11:00 AM,Rejected-Technical,Disqualified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3271871,Kamal Bhoi,02-Dec-2025 06:31 PM,Rejected-Technical,Disqulified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3280013,MILAN MAHAKUD,04-Dec-2025 08:57 PM,Rejected-Technical,Disqualified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3277631,MISIRA KUMAR DHAR,04-Dec-2025 11:44 AM,Rejected-Technical,Disquilified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3276413,PRASANTA KUMAR SATPATHY,04-Dec-2025 12:17 AM,Rejected-Technical,Disqulified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3280321,RINARANI MEHER,05-Dec-2025 02:31 AM,Rejected-Technical,Disqualified,31-Jan-2026 10:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
