S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3352947.0,Raghunandan Agrawal,INR,"26,619,968.482",OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,11-Mar-2026 07:01 PM,finsummary_575121.pdf (495.20 KB),CE RW I||RWCIRCLE-RAYAGADA,2026_CERWI_124410_1,NCB30RWCRGDA202526,Periodical Renewal work of 5 year Post DLP PMGSY Road A RD Road to Badakosapadu B RD Road to Hadia C PS Road to Kodesu in the district of Rayagada for the year 2025-26,Technical,Verified,Santoshi Mahapatra,22-Jan-2026 04:57 PM,technical_575121.pdf,Finance,Verified,Santoshi Mahapatra,07-Feb-2026 05:37 PM,finance_575121.pdf,BOQ Comparative Chart,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,02-Feb-2026 06:51 PM,06-Feb-2026 11:00 AM,techsummary_575121.pdf (1211.31 KB),1,3362945,Bhagaban Muguli,21-Jan-2026 04:08 PM,Rejected-AOC,Work Awarded to Raghunandan Agrawal,11-Mar-2026 07:11 PM,11-Mar-2026,"INR 26,619,968.482",60.0,Binod Behari Das,11-Mar-2026 07:11 PM,RGD06.pdf (486.00 KB),Work Awerded to Raghunandana Agrawal,AOC,09-Jan-2026 06:00 PM,22-Jan-2026 11:00 AM,09-Jan-2026 06:00 PM,21-Jan-2026 05:00 PM,09-Jan-2026 06:00 PM ,20-Jan-2026 05:00 PM ,09-Jan-2026 06:00 PM,21-Jan-2026 05:00 PM,06-Feb-2026 11:00 AM,Periodical Renewal work of 5 year Post DLP PMGSY Road A RD Road to Badakosapadu B RD Road to Hadia C PS Road to Kodesu in the district of Rayagada for the year 2025-26,Periodical Renewal work of 5 year Post DLP PMGSY Road A RD Road to Badakosapadu B RD Road to Hadia C PS Road to Kodesu in the district of Rayagada for the year 2025-26,NA ,NA ,"3,13,14,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,"3,13,140",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,"Rural Works Circle, Rayagada raniguda Farm Hathipathar Road",1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,CE RW I||RWCIRCLE-RAYAGADA,NCB30RWCRGDA202526,2026_CERWI_124410_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3363059,JAY PRAKASH SHARMA,21-Jan-2026 04:28 PM,Rejected-AOC,Work Awarded to Raghunandan Agrawal,11-Mar-2026 07:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3362682,KRUSHNA CHANDRA BIDIKA,21-Jan-2026 01:08 PM,Rejected-AOC,Work Awarded to Raghunandan Agrawal,11-Mar-2026 07:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3363025,Manoj Kumar Anduru,21-Jan-2026 04:25 PM,Rejected-Technical,DISQUALIFIED due to inadequate Similar Nature of work experience Financial Turn over and Bid capacity vide Clause No 12 i 12 ii and 12 iii of DTCN,02-Feb-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3358649,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,19-Jan-2026 06:50 PM,Rejected-Technical,Disqualified due to not furnishing EMD in accordance to Works Department Notification No 6785 dtd 09 05 2017 vide ClNo2 1 of DTCN,02-Feb-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3363109,M/s SHREE INFRA AND CO,21-Jan-2026 03:56 PM,Rejected-Technical,"DISQUALIFIED due to inadequate Similar Nature of work experience, vide Clause No12 I of DTCN",02-Feb-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3362383,RABINDRA MOHARANA,21-Jan-2026 04:42 PM,Rejected-AOC,Work Awarded to Raghunandan Agrawal,11-Mar-2026 07:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3352947,Raghunandan Agrawal,20-Jan-2026 08:23 PM,Accepted-AOC,Work Awarded to Raghunandan Agrawal,11-Mar-2026 07:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3362763,RAMANI RANJAN PATI,21-Jan-2026 01:26 PM,Rejected-AOC,Work Awarded to Raghunandan Agrawal,11-Mar-2026 07:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3360671,SAMIR KUMAR MEHER,21-Jan-2026 11:02 AM,Rejected-Technical,DISQUALIFIED due to inadequate Similar Nature of work experience vide Clause No12 I of DTCN,02-Feb-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
