Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
11-Mar-2026,"INR 2,118,707.54",60.0,Rehan Khatri,11-Mar-2026 12:09 PM,20SMC27.pdf (636.00 KB),SUCCESSFUL,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_120919_27,20/SMC_SBP/2025-26,"Construction of Paver Road From Hanuman Mandir to Bandha Takba. WN-38, SMC, Sambalpur.",1.0,3246107.0,BIBHUTIBHUSHAN PANDA,INR,"2,118,707.54",1,3245933,ARYA KUMAR NATH,26-Nov-2025 12:25 AM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,Finance,tender opened,PADMINI MEHER,01-Dec-2025 12:56 PM,finance_563690.pdf,BOQ Comparative Chart,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,11-Mar-2026 12:07 PM,finsummary_563690.pdf (635.60 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,11-Mar-2026 11:41 AM,techsummary_563690.pdf (635.60 KB),AOC,"Construction of Paver Road From Hanuman Mandir to Bandha Takba. WN-38, SMC, Sambalpur.","Construction of Paver Road From Hanuman Mandir to Bandha Takba. WN-38, SMC, Sambalpur.",Please refer Tender documents. ,NA ,"21,18,708",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",Municipal Bodies||Sambalpur Municipal Corporation,20/SMC_SBP/2025-26,2025_ORULB_120919_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","21,187",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,17-Nov-2025 11:00 AM,27-Nov-2025 11:00 AM,17-Nov-2025 11:00 AM,26-Nov-2025 05:00 PM,NA ,NA ,17-Nov-2025 11:00 AM,26-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,2,3256494,BHARAT SAHU,26-Nov-2025 11:49 AM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3246107,BIBHUTIBHUSHAN PANDA,25-Nov-2025 10:49 PM,Accepted-AOC,SUCCESSFUL,11-Mar-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3247671,Guddi Mishra,23-Nov-2025 12:05 PM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3246046,KRUSHNA MOHAN DHAR,25-Nov-2025 11:17 PM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3257122,NARAYAN BAGH,26-Nov-2025 01:35 PM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3246244,NARESH SINGH,25-Nov-2025 10:12 PM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3238577,PADMINI SINGH,20-Nov-2025 08:35 PM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3244550,PRABODH KUMAR PATI,26-Nov-2025 01:06 AM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3249337,RAMESH CHANDRA PANIGRAHI,25-Nov-2025 12:19 AM,Rejected-Technical,UNSUCCESSFUL,11-Mar-2026 11:41 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
