Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
01-Dec-2025 10:00 AM,06-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,01-Dec-2025 10:00 AM ,04-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,"2,000",0.0,Nil,Nil,No,"3,360",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EERW Division Boudh,O/o SERWDivision Boudh,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,Online Tender07/EERW Division Boudh 2025-26,2025_CERWI_121572_183,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair to 2 Nos D type quarter at 5th India Reverse Battalion Boudh for the year 2025-26,Repair to 2 Nos D type quarter at 5th India Reverse Battalion Boudh for the year 2025-26,Please refer DTCN ,NA ,"3,36,133",Civil Works - Buildings,NA ,Tender,90.0,30.0,O/o SERWDivision Boudh,762014.0,NA ,NA ,NA ,O/o SERWDivision Boudh,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,PAN,GSTIN towards paper cost EMD affidvit other documents asper DTCN",AOC,EE,Internal,EE DAO estimator,Madhusmita Dalei,07-Mar-2026 03:41 PM,finsummary_568435.pdf (636.84 KB),1.0,3280355.0,RINARANI MEHER,INR,"285,747",1,3276355,Amit Bansal,05-Dec-2025 03:46 AM,Rejected-Technical,Disqulified,07-Mar-2026 03:37 PM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,2025_CERWI_121572_183,Online Tender07/EERW Division Boudh 2025-26,Repair to 2 Nos D type quarter at 5th India Reverse Battalion Boudh for the year 2025-26,07-Mar-2026,"INR 285,747",30.0,Madhusmita Dalei,07-Mar-2026 03:44 PM,2059.pdf (637.00 KB),He is submitted EMD at the time of agreement,EE,Internal,EE DAO Estimator,Madhusmita Dalei,07-Mar-2026 03:37 PM,techsummary_568435.pdf (636.84 KB),Finance,All bidders are accepted,Madhusmita Dalei,07-Mar-2026 03:33 PM,finance_568435.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,,,,,2,3281861,Arabinda Nayak,05-Dec-2025 06:19 PM,Rejected-Technical,Disqualified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,AOC,,,,,,,,,,,,3,3276093,BIBEKA BARIK,05-Dec-2025 01:48 AM,Rejected-Technical,Disqulified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid e mail ID and phone number are mandatory,AOC,,,,,,,,,,,,4,3282558,BIJAYA KUMAR PRUSTY,05-Dec-2025 04:35 PM,Rejected-Technical,Disqualified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,5,3276961,Biswanath Patra,05-Dec-2025 02:28 AM,Rejected-Technical,Disquilified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3276610,Braja Mohan Nayak,04-Dec-2025 02:51 AM,Rejected-Technical,Disqulified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3280428,GOBINDA MEHER,05-Dec-2025 11:32 AM,Rejected-Technical,Disqualified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3280073,IPSIT SAHU,05-Dec-2025 10:46 AM,Rejected-Technical,Disqualified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3274374,KIRAN KUMAR MOHANTY,04-Dec-2025 12:48 PM,Rejected-Technical,Disqulified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3277376,MISIRA KUMAR DHAR,04-Dec-2025 10:58 AM,Rejected-Technical,Disqualified,07-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
