S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-PHULBANI,CCE R and B PLB 15 OF 2025-26,2025_EICCL_121169_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13-Nov-2025 10:00 AM,28-Nov-2025 11:00 AM,13-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,13-Nov-2025 10:00 AM ,26-Nov-2025 05:00 PM ,13-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,05-Dec-2025 11:30 AM,Construction of Balliguda (R and B) Sub-Division office at Balliguda in the district of Kandhamal for the year 2025-26. Building,Construction of Balliguda (R and B) Sub-Division office at Balliguda in the district of Kandhamal for the year 2025-26. Building,NA ,NA ,"1,17,41,914",Civil Works - Buildings,EI and PH ,Tender,90.0,180.0,Kandhamal,762103.0,NA ,NA ,NA ,Office of the CCE Phulbani RandB Circle Phulbani,No ,No,1.0,Fee/PreQual/Technical,.pdf,EMD GSTIN RC WORK EXPRIENCE MACHINARIES AND OTHER REQUIRED DOCUMENTS AS PER DTCN,"1,17,500",Yes,fixed,,Nil,Nil,CCE Phulbani RandB Circle Phulbani,Office of the CCE Phulbani RandB Circle Phulbani District Kandhamal PIN 762001,"10,000",0.0,Nil,Nil,No,AOC,30-Mar-2026,"INR 9,981,801",180.0,Pravat Kumar Das,30-Mar-2026 07:11 PM,AgreemedntNo_343P1of2025_26.pdf (221.00 KB),Awarded being L1 bidder selected through transparent lottery system,1,3260377,RANJAN NAIK,27-Nov-2025 03:25 PM,Rejected-Finance,Negotiated to L1 rate SC Contractor Rejected being not selected through transparent lottery system,30-Mar-2026 07:03 PM,Finance,All document are received and under scrutiny,Pravat Kumar Das,05-Dec-2025 12:24 PM,,BOQ Comparative Chart,CCE Phulbani RandB Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Balliguda RandB Division Balliguda DAO Balliguda RandB Division Balliguda PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,04-Dec-2025 05:18 PM,05-Dec-2025 11:30 AM,techsummary_563715.pdf (353.68 KB),CCE Phulbani (R and B) Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Balliguda RandB Division Balliguda DAO Balliguda RandB Division Balliguda PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,30-Mar-2026 07:03 PM,finsummary_563715.pdf (498.34 KB),EIC-CIVIL||SERNB-CIRCLE-PHULBANI,2025_EICCL_121169_1,CCE R and B PLB 15 OF 2025-26,Construction of Balliguda (R and B) Sub-Division office at Balliguda in the district of Kandhamal for the year 2025-26. Building,Technical,All document are received and under scrutiny,Pravat Kumar Das,28-Nov-2025 12:42 PM,,1.0,3238130.0,Subala Pradhan,INR,"9,981,801",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,2,3238130,Subala Pradhan,21-Nov-2025 12:54 PM,Accepted-AOC,Awarded being L1 bidder selected through transparent lottery system,30-Mar-2026 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3258520,Subrata Kumar Mohanty,26-Nov-2025 08:29 PM,Rejected-Finance,Rejected being L2 bidder,30-Mar-2026 07:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
