Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
EE,Internal,EE DAO estimator,Madhusmita Dalei,11-Mar-2026 12:02 PM,techsummary_568392.pdf (634.04 KB),Finance,All bidders are accepted,Madhusmita Dalei,11-Mar-2026 11:57 AM,finance_568392.pdf,BOQ Comparative Chart,11-Mar-2026,"INR 357,149",30.0,Madhusmita Dalei,11-Mar-2026 12:10 PM,903.pdf (634.00 KB),He is submitted EMD at the time of agreement,EE,Internal,EE DAO estimato-u9ki5r4,Madhusmita Dalei,11-Mar-2026 12:08 PM,finsummary_568392.pdf (634.04 KB),1.0,3278015.0,RANJIT PRADHAN,INR,"357,149",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,2025_CERWI_121572_160,Online Tender07/EERW Division Boudh 2025-26,Construction of Bike stand at Baghiapada Outpost for the year 2025-26,1,3276161,Amit Bansal,05-Dec-2025 12:58 PM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,"4,200",Yes,fixed,,Nil,Nil,EERW Division Boudh,O/o SERW Division Boudh,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,Online Tender07/EERW Division Boudh 2025-26,2025_CERWI_121572_160,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Bike stand at Baghiapada Outpost for the year 2025-26,Construction of Bike stand at Baghiapada Outpost for the year 2025-26,Please refer DTCN ,NA ,"4,20,125",Civil Works - Buildings,NA ,Tender,90.0,30.0,O/o SERWDivision Boudh,762014.0,NA ,NA ,NA ,O/o SERWDivision Boudh,No ,No,1.0,ICICI BANK,01-Dec-2025 10:00 AM,06-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,01-Dec-2025 10:00 AM ,04-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,PAN,GSTIN towards paper cost EMD affidvit other documents asper DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3281694,Arabinda Nayak,05-Dec-2025 02:59 PM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3276022,BIBEKA BARIK,05-Dec-2025 01:36 AM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3282267,BIJAYA KUMAR PRUSTY,05-Dec-2025 03:40 PM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid e mail ID and phone number are mandatory,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3275695,BIRENDRA PRADHAN,03-Dec-2025 05:17 PM,Rejected-Technical,Disquilified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3270614,Biswanath Patra,04-Dec-2025 01:22 AM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3282200,GHASIRAM JAGADALA,05-Dec-2025 03:31 PM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3271888,Kamal Bhoi,02-Dec-2025 06:35 PM,Rejected-Technical,Disqulified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3276306,KAMAL KUMAR PRADHAN,04-Dec-2025 01:40 PM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3282905,KULAMANI MAJHI,06-Dec-2025 08:43 AM,Rejected-Technical,Disqualified,11-Mar-2026 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
