Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_110156_25,EO/ JSPURM/W-03/2024-25,Construction of Paver Road from Babaji Satapathy house to Rabindra Sahoo house.,1.0,2829011.0,PRADEEP KUMAR DAS,INR,"303,950",1,2828759,AMARESH SWAIN,21-Feb-2025 11:00 AM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,09-Mar-2026,"INR 303,950",90.0,Manas Ranjan Pal,09-Mar-2026 12:37 PM,E82464AOC.pdf (1041.00 KB),Finance,Bids opened in online. 11 Nos of Bidder have been participated in Online. All Bid has been accepted for Lottery Process.,Manas Ranjan Pal,24-Mar-2025 06:39 PM,,BOQ Comparative Chart,CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,09-Mar-2026 12:29 PM,finsummary_528867.pdf (4894.69 KB),Chairperson,Internal,,Manas Ranjan Pal,25-Mar-2025 12:34 PM,techsummary_528867.pdf (1753.49 KB),AOC,"Executive Officer, Jagatsinghpur Municipality","Jagatsinghpur Municipality, Jagatsinghpur","2,360",0.0,Nil,Nil,No,Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-03/2024-25,2025_ORULB_110156_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,PAN,GST, Registration, NRC, Declaration,Affidavit,Other as Per DTCN",07-Feb-2025 05:00 PM,25-Feb-2025 11:00 AM,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,"3,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Paver Road from Babaji Satapathy house to Rabindra Sahoo house.,Construction of Paver Road from Babaji Satapathy house to Rabindra Sahoo house.,Please refer Tender documents. ,NA ,"3,72,547",Civil Works - Others,NA ,Tender,60.0,90.0,Construction of Paver Road from Babaji Satapathy h,754103.0,NA ,NA ,NA ,Jagatsinghpur Municipality,No ,No,AOC
,,,,,,,,,2,2827570,ASHIM KUMAR MOHANTY,20-Feb-2025 01:36 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2823270,Krushna Chandra Sethy,17-Feb-2025 07:42 PM,Rejected-AOC,REJECTED,09-Mar-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2823678,MANOJ SINGH,18-Feb-2025 07:49 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2825539,NIRUPAMA BEHERA,19-Feb-2025 12:54 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2829011,PRADEEP KUMAR DAS,21-Feb-2025 01:38 PM,Accepted-AOC,ACCEPTED,09-Mar-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2811492,RAJ NARAYAN SAHOO,18-Feb-2025 10:16 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2828454,RANJANKUMARPOLEI,20-Feb-2025 09:10 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2828203,SARADA PRASAD JENA,20-Feb-2025 10:12 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2826540,SAUMYAKANTA DAS,20-Feb-2025 04:42 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
