S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,3058493.0,SANJAY KUMAR AGRAWAL,INR,"8,391,922",Gyanaranjan Nayak,Internal,Sitesh Kumar Arun Prakash Tete,Gyanaranjan Nayak,19-Nov-2025 05:18 PM,finsummary_550028.pdf (2452.14 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KANTABANJI,2025_EICCL_117116_1,09/KBJ/2025-26,Construction of D type Quarter 3 Nos. at CHC Kholan under Titilagarh Block in the district of Balangir for the year 2025-26 (State Plan under MMSSM),Technical,Technical Bid opened on 02.09.2025,Gyanaranjan Nayak,03-Sep-2025 05:57 PM,technical_550028.pdf,Finance,Financial Bid opened on 15.10.2025,Gyanaranjan Nayak,15-Oct-2025 09:46 AM,finance_550028.pdf,BOQ Comparative Chart,Gyanaranjan Nayak,Internal,Sitesh Kumar Arun Prakash Tete,Gyanaranjan Nayak,14-Oct-2025 07:11 PM,15-Oct-2025 09:00 AM,techsummary_550028.pdf (774.99 KB),1,3057486,AKARSHAN JHA,31-Aug-2025 12:38 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,25-Mar-2026,"INR 8,391,922",180.0,Gyanaranjan Nayak,25-Mar-2026 01:05 PM,307.pdf (1529.00 KB),Agreement drawn and Work order issued on 31.01.2026,AOC,1.0,Fee/PreQual/Technical,.pdf,"Contractor Registration Certificate, CDMS Certificate, GST Registration Certificate, GSTIN, PAN","10,000",0.0,Nil,Nil,No,21-Aug-2025 11:00 AM,02-Sep-2025 11:30 AM,21-Aug-2025 11:00 AM,01-Sep-2025 05:00 PM,21-Aug-2025 11:00 AM ,25-Aug-2025 05:00 PM ,21-Aug-2025 11:00 AM,01-Sep-2025 05:00 PM,15-Oct-2025 09:00 AM,Superintending Engineer Kantabanji (RandB) Divn.,O/O the Superintending Engineer Kantabanji (RandB) Division,"98,800",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KANTABANJI,09/KBJ/2025-26,2025_EICCL_117116_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of D type Quarter 3 Nos. at CHC Kholan under Titilagarh Block in the district of Balangir for the year 2025-26 (State Plan under MMSSM),Construction of D type Quarter 3 Nos. at CHC Kholan under Titilagarh Block in the district of Balangir for the year 2025-26 (State Plan under MMSSM),Please refer tender documents ,NA ,"98,71,688",Civil Works - Buildings,NA ,Tender,90.0,180.0,KANTABANJI,767039.0,NA ,NA ,NA ,O/O the S.E. Kantabanji (RandB) Division,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3054023,AMRIT KUMAR JAIN,29-Aug-2025 12:36 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,.pdf,"Affidavit of correctness of documents, No Relationship Certificate, MoU, Other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3057344,BINOD AGRAWAL,31-Aug-2025 11:00 AM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3057416,CHAITAN HARPAL,31-Aug-2025 05:28 PM,Rejected-Finance,Price preference given being SC Contractor and stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3056689,DEBABRATA BRAHMA,30-Aug-2025 05:38 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3058632,GR INFRATECH,01-Sep-2025 12:05 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3051415,LIKHIT CONSTRUCTION AND SALES,27-Aug-2025 06:22 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3058032,NIHAR RANJAN PANDIA,01-Sep-2025 11:07 AM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3057469,PRITAM KUMAR PATRA,31-Aug-2025 12:50 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3058278,RAMESH KUMAR AGRAWAL,01-Sep-2025 04:46 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3059450,Sahil Singh,01-Sep-2025 04:04 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3058493,SANJAY KUMAR AGRAWAL,01-Sep-2025 04:10 PM,Accepted-AOC,Agreement drawn and Work order issued on 31.01.2026,25-Mar-2026 01:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3048505,SURAJ KUMAR JAIN,25-Aug-2025 08:30 PM,Rejected-Finance,Stand L2 in transparent lottery,19-Nov-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
