S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3318364.0,SUMITRA DURIA,INR,"214,340",CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,2025_CERWI_122974_10,RWNPD-05/2025-26,S/R to R.I. Office-cum-Res. Tarbod for the year 2025-26,1,3312019,Achutanand Mund,17-Dec-2025 07:23 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,31-Mar-2026,"INR 214,340",30.0,Raj Kumar Meher,31-Mar-2026 01:08 PM,AOC.pdf (1086.00 KB),AOC,Finance,Tender open,Raj Kumar Meher,31-Mar-2026 12:47 PM,,BOQ Comparative Chart,Financial,Internal,EE DAO ESTIMATER,Raj Kumar Meher,31-Mar-2026 01:00 PM,finsummary_571136.pdf (1984.73 KB),Technical,Internal,EE DAO ESTIMATER,Raj Kumar Meher,31-Mar-2026 12:53 PM,techsummary_571136.pdf (1984.73 KB),AOC,"2,600",Yes,fixed,,Nil,Nil,S/R to R.I. Office-cum-Res. Tarbod for the year 2025-26,S/R to R.I. Office-cum-Res. Tarbod for the year 2025-26,As per DTCN ,NA ,"2,52,134",Civil Works - Buildings,NA ,Tender,90.0,30.0,NUAPADA,766105.0,NA ,NA ,NA ,"O/o the S.E.R.W.Division,Nuapada",No ,No,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,RWNPD-05/2025-26,2025_CERWI_122974_10,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"O/o the S.E.R.W.Division,Nuapada",1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN,AFFIDAVIT,EMD,NRC AND OTHER DOCUMENTS AS PER DTCN",11-Dec-2025 05:00 PM,22-Dec-2025 11:00 AM,11-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,11-Dec-2025 05:00 PM ,19-Dec-2025 05:00 PM ,11-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,AOC
,,,,,,,,,2,3313067,ANITH KUMAR THANAPATI,19-Dec-2025 03:03 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,3,3315719,DEBASIS TANDI,18-Dec-2025 10:25 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3312818,DHIBAR DHARUA,18-Dec-2025 01:00 AM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3318667,JAYAPAL CHINAGUN,20-Dec-2025 10:12 AM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3318382,JYOTI PRAKASH PANDA,19-Dec-2025 09:45 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3314824,KAJAL SHARMA,18-Dec-2025 07:07 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3319165,MAHENDRA KUMAR SAHU,20-Dec-2025 01:26 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3318619,MANAS RANJAN BIBHAR,20-Dec-2025 02:42 PM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3303890,MANJU AGRAWL,16-Dec-2025 11:44 AM,Rejected-AOC,Reject,31-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
