Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
16-Feb-2026 10:00 AM,26-Feb-2026 11:00 AM,16-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,16-Feb-2026 10:00 AM ,20-Feb-2026 05:00 PM ,16-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Nawarangpur Irrigation Division Nawarangpur,SE-NID-07/2025-26(01),2026_NIDN_125982_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, GST, PAN, Contractor RC, NRC, Affidavit etc.",1.0,ICICI BANK,"4,000",Nil,Nil,No,Superintending Engineer NID Nabarangpur,Office of SE NID Nabarangpur,"9,100",Yes,fixed,,Nil,Nil,Construction of Trough wall with concrete bed of Pujariguda Minor Between RD 0.00m to 80.00m of Right Distributary of Bhaskel Irrigation Project,Construction of Trough wall,Please refer Tender documents. ,NA ,"9,02,880",Civil Works - Canal,NA ,Tender,90.0,30.0,UMERKOTE,764073.0,NA ,NA ,NA ,Office of SE NID Nabarangpur,No ,No,AOC,SE NID NABARANGPUR,Internal,SE NID ESTIMATOR DIVISIONAL ACCOUNTANT,Surabala Sahu,13-Mar-2026 11:27 AM,techsummary_581112.pdf (1394.05 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Nawarangpur Irrigation Division Nawarangpur,2026_NIDN_125982_1,SE-NID-07/2025-26(01),Construction of Trough wall with concrete bed of Pujariguda Minor Between RD 0.00m to 80.00m of Right Distributary of Bhaskel Irrigation Project,1.0,3410485.0,ABRAHAM KOCHIM,INR,"902,880.66",1,3411311,ABHIMANYU SWAIN,25-Feb-2026 02:45 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,SE NID NABARANGPUR,Internal,SE NID ESTIMATOR DIVISIONAL ACCOUNTANT,Surabala Sahu,13-Mar-2026 11:56 AM,finsummary_581112.pdf (1394.05 KB),Finance,ALL ADMITTED,Surabala Sahu,06-Mar-2026 12:07 PM,finance_581112.pdf,BOQ Comparative Chart,18-Mar-2026,"INR 902,880.66",30.0,Surabala Sahu,30-Mar-2026 05:19 PM,PUJARIGUDAWO.pdf (812.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,3410485,ABRAHAM KOCHIM,24-Feb-2026 09:08 PM,Accepted-AOC,won in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,3411233,AJAYA KUMAR BEHERA,25-Feb-2026 02:26 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,3407314,AKASH BISSOI,22-Feb-2026 01:06 AM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,3410943,ALEKHA CHANDRA MOHANTY,25-Feb-2026 01:26 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,3410242,A SAI KUMAR,24-Feb-2026 06:07 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,3410297,BINOD KUMAR MOHANTY,24-Feb-2026 07:42 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,3409357,DEBANAND NAG,24-Feb-2026 08:23 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,3409259,DEV CONSTRUCTION CO,25-Feb-2026 12:06 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,3410368,DINESH BISWAS,24-Feb-2026 07:45 PM,Rejected-AOC,Rejected in lottery,30-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,AOC
