EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"2,540",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as per DTCN",29-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,29-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,04-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-01 of 2025-26,2025_CERWI_120200_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"O/o the E.E. R.W Division, Bonai",S/R to Soil Conservation Staff Qtr at Sanjivika Gurundia Block for the year 2025-26,S/R to Soil Conservation Staff Qtr at Sanjivika Gurundia Block for the year 2025-26,Please refer Tender documents. ,NA ,"2,53,926",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bonai,770038.0,NA ,NA ,NA ,"O/o the E.E. R.W Division, Bonai",No ,No,AOC,1,3189306,DM Constructions,06-Nov-2025 02:51 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,18-Dec-2025,"INR 215,863",30.0,Jajati Keshari Gadanayak,05-Mar-2026 09:53 AM,1370.pdf (995.00 KB),Awarded,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,17-Dec-2025 11:14 AM,techsummary_559231.pdf (1054.22 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,17-Dec-2025 11:18 AM,finsummary_559231.pdf (1054.22 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2025_CERWI_120200_2,ONLINE-EEBNI-01 of 2025-26,S/R to Soil Conservation Staff Qtr at Sanjivika Gurundia Block for the year 2025-26,1.0,3187793.0,MAMTA ENTERPRISES,INR,"215,863",Finance,Admitted,Jajati Keshari Gadanayak,17-Dec-2025 11:10 AM,,BOQ Comparative Chart,AOC
,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3189043,JUDHISTIR KISAN,06-Nov-2025 03:44 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3185871,KESHAB CHANDRA PATRA,05-Nov-2025 07:22 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3181758,KISHORI PRASAD JAISWAL,04-Nov-2025 05:50 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3187793,MAMTA ENTERPRISES,06-Nov-2025 11:25 AM,Accepted-AOC,Awarded,05-Mar-2026 09:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3188506,RB LOGISTICS,06-Nov-2025 02:12 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3177130,SABITRI SAHOO,03-Nov-2025 10:21 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3180481,SATYABRATA PRADHAN,05-Nov-2025 11:40 AM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3178398,SHRABAN KUMAR SAHOO,04-Nov-2025 08:52 AM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3189945,SUMAN JAISWAL,06-Nov-2025 04:56 PM,Rejected-Finance,By lottery,17-Dec-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
