Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
13-Mar-2026,"INR 2,597,757.9",180.0,Haripriya Behera,13-Mar-2026 08:39 AM,TCN_05_35A.pdf (410.00 KB),1.0,3287799.0,SUVENDU KUMAR MOHANTY,INR,"2,597,757.9",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_122336_35,05(Onilne)/RWD/UDALA/2025-26,Construction of 01 No. D Type Qtr at Badasingaria PHC in the District of Mayurbhanj.,1,3287022,ABINASH BEHERA,07-Dec-2025 09:02 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,Finance,12 Nos of bidders admitted,Haripriya Behera,13-Mar-2026 08:32 AM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,13-Mar-2026 08:36 AM,finsummary_568552.pdf (290.44 KB),SE RWD Udala,Internal,,Haripriya Behera,13-Mar-2026 08:34 AM,techsummary_568552.pdf (290.44 KB),AOC,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,02-Dec-2025 01:00 PM,08-Dec-2025 05:30 PM,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,02-Dec-2025 01:00 PM ,08-Dec-2025 03:00 PM ,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,05(Onilne)/RWD/UDALA/2025-26,2025_CERWI_122336_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits, and other required documents as per DTCN.","30,550",Yes,percentage,1.0%,Nil,Nil,"S.E R.W Division, Udala","S.E R.W Division, Udala",Construction of 01 No. D Type Qtr at Badasingaria PHC in the District of Mayurbhanj.,Construction of 01 No. D Type Qtr at Badasingaria PHC in the District of Mayurbhanj.,Please refer Tender documents. ,NA ,"30,55,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,"SE RW Division, Udala",757041.0,NA ,NA ,NA ,"Office of the S.E R.W Division, Udala",No ,No,AOC
,,,,,,,,,,,,,,,2,3289369,AJAY KUMAR SETHI,08-Dec-2025 03:11 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3274435,DINESH KUMAR NAYAK,05-Dec-2025 02:02 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3288990,DIPAK KUMAR DAS,08-Dec-2025 02:09 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3285076,"M/S SAI SHREE CONSTRUCTIONS, PROP. SANGYASENI ROUT",06-Dec-2025 08:37 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3288320,PRADEEP KUMAR PARIDA,08-Dec-2025 12:24 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3287265,SANATAN JENA,07-Dec-2025 10:14 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3279958,SATYAPRAKASH PRADHAN,06-Dec-2025 09:46 AM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3281038,SRI RAJENDRA PRADHAN,08-Dec-2025 04:00 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3288308,SUBHASISH PATI,08-Dec-2025 01:09 PM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3287799,SUVENDU KUMAR MOHANTY,08-Dec-2025 10:12 AM,Accepted-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3283754,URMILA DAS,08-Dec-2025 11:50 AM,Rejected-AOC,L1,13-Mar-2026 08:39 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
