Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Repair and Renovation of Way Side Amenity Centre at Dhenkanal Kamakhyanagar road near village Mohupal in Dhenkanal Dist.,Repair and Renovation of Way Side Amenity Centre at Dhenkanal Kamakhyanagar road near village Mohupal in Dhenkanal Dist.,As per DTCN ,NA ,"20,09,000",Civil Works - Buildings,NA ,Tender,180.0,30.0,Mohupal in Dhenkanal,759017.0,NA ,NA ,NA ,"O/o The Superintending Engineer, OTDC Ltd. BBSR",No ,No,"20,090",Yes,fixed,,Nil,Nil,"6,000","1,080",Nil,Nil,No,17-Dec-2025 09:00 AM,26-Dec-2025 11:30 AM,17-Dec-2025 09:00 AM,24-Dec-2025 05:00 PM,17-Dec-2025 09:00 AM ,21-Dec-2025 05:00 PM ,17-Dec-2025 09:00 AM,24-Dec-2025 05:00 PM,1.0,Repair and Renovation of Way Side Amenity Centre at Dhenkanal Kamakhyanagar road near village Mohupal in Dhenkanal Dist.,Date,,1.0,ICICI BANK,"Superintending Engineer, OTDC Ltd. BBSR","O/o The Superintending Engineer, OTDC Ltd. BBSR",Odisha Tourism Devl. Corp.,BP-I/23/2025-26 Dt. 29.11.2025,2025_OTDC_123338_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,3325064,ANJALI SAHOO,23-Dec-2025 06:31 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,S BEHERA,Internal,"S JENA, A S SWAIN",Subrat Kumar Jena,02-Mar-2026 01:02 PM,finsummary_572001.pdf (499.77 KB),Finance,BIDDER LIST,Subrat Kumar Jena,18-Jan-2026 01:50 PM,finance_572001.pdf,BOQ Comparative Chart,02-Mar-2026,"INR 1,707,865.52",30.0,Subrat Kumar Jena,02-Mar-2026 01:07 PM,wacmohupalworkorder.pdf (738.00 KB),work order,S K Behera,Internal,"S.K.JENA, A.S. SWAIN, D. MALIK",Sunil Kumar Behera,20-Jan-2026 06:10 PM,techsummary_572001.pdf (1810.80 KB),Odisha Tourism Devl. Corp.,2025_OTDC_123338_1,BP-I/23/2025-26 Dt. 29.11.2025,Repair and Renovation of Way Side Amenity Centre at Dhenkanal Kamakhyanagar road near village Mohupal in Dhenkanal Dist.,1.0,3326279.0,Bimalesh Nayak,INR,"1,707,865.52",AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,2,3324948,BABULA KAANRA,23-Dec-2025 05:23 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3326279,Bimalesh Nayak,24-Dec-2025 03:10 PM,Accepted-AOC,SUCCESFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,02-Mar-2026 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3320244,BISWAJIT PANI,21-Dec-2025 11:42 AM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3326221,PRIYAMBADA DAS,24-Dec-2025 03:23 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3323466,RAMESH CHANDRA SAHOO,22-Dec-2025 06:18 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3319017,Sandip Kumar Panda,20-Dec-2025 12:42 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3320536,SIBARAM MALLIK,21-Dec-2025 02:31 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3319271,SMART SOLUTIONS,20-Dec-2025 02:03 PM,Rejected-Finance,UNSUCEESFUL BIDDER IN TRANSPARENT LOTEERY SYSTEM,02-Mar-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3321197,SRI RABI NARAYAN SAHOO,21-Dec-2025 09:35 PM,Rejected-AOC,UNSUCCESFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,02-Mar-2026 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
