S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",20-Jan-2026 05:30 PM,31-Jan-2026 11:00 AM,20-Jan-2026 05:30 PM,30-Jan-2026 05:00 PM,20-Jan-2026 05:30 PM ,30-Jan-2026 03:00 PM ,20-Jan-2026 05:30 PM,30-Jan-2026 05:00 PM,S/R to Mahatipur - Sundhiragandibed for the year 2025-26,S/R to Mahatipur - Sundhiragandibed for the year 2025-26,Please refer Tender documents. ,NA ,"28,98,323",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the S.E,R.W.Division_II,Balasore",No ,No,"28,983",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN/BLS-II No.09 of 2025-26,2026_CERWI_124808_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer,R.W.Division_II,Balasore","O/o the Superintending Engineer,R.W.Division_II,Balasore",AOC,"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,18-Feb-2026 12:26 PM,finsummary_576988.pdf (395.92 KB),"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,13-Feb-2026 05:27 PM,techsummary_576988.pdf (395.92 KB),1,3373081,AD SERVICES,29-Jan-2026 09:54 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,1.0,3373167.0,BIKRAM KESHARI PATRA,INR,"2,463,864.21",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2026_CERWI_124808_16,E-TCN/BLS-II No.09 of 2025-26,S/R to Mahatipur - Sundhiragandibed for the year 2025-26,16-Mar-2026,"INR 2,463,864.21",30.0,Amir Kumar Sethy,16-Mar-2026 05:04 PM,16Mahatipur.pdf (435.00 KB),Finance,All documents are download and go to next process,Sujata Behera,10-Feb-2026 05:41 PM,finance_576988.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3372345,AJIT KUMAR SWAIN,29-Jan-2026 02:43 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3371587,ANASUYA NAYAK,30-Jan-2026 11:58 AM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3373167,BIKRAM KESHARI PATRA,30-Jan-2026 09:08 AM,Accepted-AOC,Awarded through lottery winner vide Agrt No.223 P1 of 2025-26,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3370900,DEEPAK KUMAR NAYAK,28-Jan-2026 06:09 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3373044,DIPTI RANJAN RAYSARDAR,29-Jan-2026 09:20 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3370822,GOBINDA CHANDRA SWAIN,28-Jan-2026 04:58 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3373521,Ipsita Nanda,30-Jan-2026 01:05 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3371987,KHIRODA KUMAR NAYAK,29-Jan-2026 04:47 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3372500,KUMAR CHIRANJIB JENA,29-Jan-2026 03:50 PM,Rejected-AOC,Rejected,16-Mar-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC
