Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,29-Dec-2025 10:00 AM,20-Jan-2026 11:00 AM,29-Dec-2025 10:00 AM,19-Jan-2026 05:30 PM,29-Dec-2025 10:00 AM ,07-Jan-2026 05:30 PM ,29-Dec-2025 10:00 AM,19-Jan-2026 05:30 PM,30-Jan-2026 03:00 PM,"1,46,700",Yes,fixed,,Nil,Nil,Addl Chief Engineer,"O/o the ACE, Balangir Irr Circle, Balangir",1.0,ICICI BANK,"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE ODD Padampur","e-Procurement Notice No-ACE, BOIC-06/2025-26",2025_CEBMT_123922_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of Inspection Bungalow (I.B) At- Padampur under Ong Dam Division,Padampur for the financial year 2025-26 (Composite Tender)","Construction of Inspection Bungalow (I.B) At- Padampur under Ong Dam Division,Padampur for the financial year 2025-26 (Composite Tender)",Please refer tender documents. ,NA ,"1,46,63,139",Civil Works - Buildings,NA ,Tender,90.0,360.0,Bargarh,768036.0,NA ,NA ,NA ,"O/o the ACE, Balangir Irr Circle, Balangir",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor RC, Affidavit,GSTIN, PAN, Paper Cost, EMD, NRC and any other as per DTCN(composite tender",AOC,1,3358676,ARUN PRASAD SAHOO,18-Jan-2026 06:48 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,22-Mar-2026,"INR 12,465,134.7",360.0,JYOTIRANJAN BEHERA,22-Mar-2026 09:39 PM,IBFINAL.pdf (1031.00 KB),AOC,ACEBIC,Internal,"ACEBIC,SEBID,DAO,AEE",JYOTIRANJAN BEHERA,30-Jan-2026 01:41 PM,30-Jan-2026 03:00 PM,techsummary_573568.pdf (601.31 KB),Finance,financial bid download successfully,JYOTIRANJAN BEHERA,22-Mar-2026 08:41 PM,finance_573568.pdf,BOQ Comparative Chart,Technical,The Technical Bid documents downloaded succesfully,JYOTIRANJAN BEHERA,30-Jan-2026 01:00 PM,technical_573568.pdf,"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE ODD Padampur",2025_CEBMT_123922_1,"e-Procurement Notice No-ACE, BOIC-06/2025-26","Construction of Inspection Bungalow (I.B) At- Padampur under Ong Dam Division,Padampur for the financial year 2025-26 (Composite Tender)",ACEBIC,Internal,"ACEBIC,SEBID,DAO",JYOTIRANJAN BEHERA,22-Mar-2026 09:16 PM,finsummary_573568.pdf (1030.96 KB),1.0,3358587.0,JYOTI PRAKASH PANIGRAHI,INR,"12,465,134.7",AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,2,3360032,ASHUTOSH SAHU,19-Jan-2026 04:48 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3359487,Dinesh Kumar Agrawal,19-Jan-2026 12:55 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3359697,INDRAMANI SAHU,19-Jan-2026 02:17 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3358587,JYOTI PRAKASH PANIGRAHI,18-Jan-2026 12:24 PM,Accepted-AOC,AWARD OF CONTRACT,22-Mar-2026 09:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3351031,LINGARAJ MISHRA,12-Jan-2026 10:02 AM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3358671,MANAS RANJAN MISHRA,18-Jan-2026 06:24 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3359400,MOHD AKIL,19-Jan-2026 12:58 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3354733,M/S OM SAI CONSTRUCTION,18-Jan-2026 10:08 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3359787,Padma Lochan Ratha,19-Jan-2026 02:47 PM,Rejected-Finance,Through Transparent Lottery Process,22-Mar-2026 09:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
