Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,total 11 bidders accepted,Lambodar Naik,19-Mar-2026 11:09 AM,,BOQ Comparative Chart,19-Mar-2026,"INR 864,564.67",30.0,Lambodar Naik,19-Mar-2026 11:24 AM,fin.pdf (412.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120110_42,SE/BDK-II/TCN-10/2025-26,S/R to BC Road to Chhatrapada road for the year 2025-26 in the District of Bhadrak,1.0,3196335.0,RANJITA DASH,INR,"864,564.67",1,3196284,Ashish Puhana,08-Nov-2025 03:12 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,Executive Engineer,Internal,,Lambodar Naik,19-Mar-2026 11:12 AM,techsummary_558932.pdf (279.01 KB),Executive Engineer,Internal,,Lambodar Naik,19-Mar-2026 11:17 AM,finsummary_558932.pdf (412.04 KB),AOC,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",S/R to BC Road to Chhatrapada road for the year 2025-26 in the District of Bhadrak,S/R to BC Road to Chhatrapada road for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"10,17,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,"10,170",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",27-Oct-2025 06:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 06:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 06:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 06:00 PM,10-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120110_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,2,3206439,BHIMSEN SAHOO,10-Nov-2025 04:17 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,3,3177893,BIDYADHAR BARIK,04-Nov-2025 07:54 AM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3184410,CHANDAN KUMAR BAL,05-Nov-2025 02:46 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3205009,Dipak Kumar Das,10-Nov-2025 09:31 AM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3193014,Hrushikesh Sahoo,07-Nov-2025 02:05 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3196101,PRIYADARSHAN NAYAK,08-Nov-2025 09:59 AM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3180154,Raghunath Sahoo,07-Nov-2025 07:40 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3196335,RANJITA DASH,08-Nov-2025 11:14 AM,Accepted-AOC,selected through transparent lottery system,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3204829,Sanjay Kumar Das,10-Nov-2025 12:14 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3190139,Santosh Dhal,06-Nov-2025 05:36 PM,Rejected-AOC,rejected,19-Mar-2026 11:24 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
