Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Improvement to Kakalbaki MIP in G.Udayagiri Block of Kandhamal District under Repair, Renovation and Restoration grant for the year 2025-26.","Improvement to Kakalbaki MIP in G.Udayagiri Block of Kandhamal District under Repair, Renovation and Restoration grant for the year 2025-26.",Please refer Tender documents. ,NA ,"4,90,00,000",Civil Works - Others,NA ,Tender,90.0,330.0,Phulbani,762001.0,NA ,NA ,NA ,"O/o the Addl. Chief Engineer, Phulbani M.I. Circl",No ,No,"4,90,000",Yes,fixed,,Nil,Nil,07-Jan-2026 10:00 AM,19-Jan-2026 11:00 AM,07-Jan-2026 10:00 AM,17-Jan-2026 05:30 PM,NA ,NA ,07-Jan-2026 10:00 AM,17-Jan-2026 05:30 PM,30-Jan-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Valid CDMS,GST,PAN, Reg certificate,No relation, Affidavits other documents as perDTCN","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani",BID ID.NO. ACEPMIC_02/2025-26,2026_CEMIB_124302_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Addl. Chief Engineer, Phulbani M.I. Circl","Addl. Chief Engineer, Phulbani M.I. Circle, Phulbani near Panchayat Bhawan",AOC,"Additional Chief Engineer, PMIC, Phulbani",Internal,"Asst. to ACE, PMIC, Phulbani SE, M.I. Division, Bhanjanaga, SE M.I. Division, Kandhamal, Boudh, SE, DAO, M.I. Division, Kandhamal, M.I. Division, Bhanjanagar, Assistant Engineer Estimator, PMIC, Phulb",Guna Nidhi Pariga,31-Mar-2026 01:23 PM,finsummary_574794.pdf (1790.35 KB),"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani",2026_CEMIB_124302_4,BID ID.NO. ACEPMIC_02/2025-26,"Improvement to Kakalbaki MIP in G.Udayagiri Block of Kandhamal District under Repair, Renovation and Restoration grant for the year 2025-26.",Technical,Bid opening summary,Guna Nidhi Pariga,29-Jan-2026 07:37 PM,technical_574794.pdf,1.0,3357960.0,Ganesh Sahu,INR,"41,654,817",1,3358076,ALOKNATH PATI,17-Jan-2026 05:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jan-2026 07:37 PM,31-Mar-2026,"INR 41,654,817",330.0,Guna Nidhi Pariga,31-Mar-2026 01:32 PM,KakalbakiMIP.pdf (891.00 KB),AOC,Finance,Bid opening summary,Guna Nidhi Pariga,31-Mar-2026 01:13 PM,finance_574794.pdf,BOQ Comparative Chart,"Additional Chief Engineer, PMIC, Phulbani",Internal,"Asst. to ACE, PMIC, Phulbani SE, M.I. Division, Bhanjanaga, SE M.I. Division, Kandhamal, SE, DAO, M.I. Division, Kandhamal, M.I. Division, Bhanjanagar, Assistant Engineer Estimator, PMIC, Phulbani",Guna Nidhi Pariga,29-Jan-2026 09:58 PM,30-Jan-2026 11:00 AM,techsummary_574794.pdf (1790.35 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3357836,ASISH KUMAR MOHANTY,16-Jan-2026 07:06 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3356358,BIDYABHUSAN KANHAR,15-Jan-2026 06:06 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3358254,CHANDAN PRASAD PADHY,17-Jan-2026 03:50 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3356796,DIBYASUNDAR SAHOO,16-Jan-2026 01:25 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3357960,Ganesh Sahu,17-Jan-2026 09:03 AM,Accepted-AOC,Awarded through Lottery,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3358359,JAYANTA KUMAR BEHERA,17-Jan-2026 04:30 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3357785,JBS CONSTRUCTIONS PRIVATE LIMITED,17-Jan-2026 01:38 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3348236,JOGENDRA KUMAR MOHANTY,16-Jan-2026 06:36 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3358344,LAXMIDHAR JENA,17-Jan-2026 04:16 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,3357560,MAHENDRA PRASAD BEHERA,16-Jan-2026 03:10 PM,Rejected-AOC,Not qualified,31-Mar-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
