S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Cost of Tender Paper,Fee,,Municipal Bodies||Bhuban NAC,BBN NAC 05/2025-26,2025_ORULB_122602_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,241",Yes,percentage,1.0%,Nil,Nil,08-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,Development of Road and Drain and Laying Paver Block two side road from Rout Sahi well to Harihar Pur Patana Up School.,Development of Road and Drain and Laying Paver Block two side road from Rout Sahi well to Harihar Pur Patana Up School.,Please refer Tender documents. ,NA ,"4,24,101",Civil Works - Others,NA ,Tender,120.0,60.0,Bhuban NAC,759017.0,NA ,NA ,NA ,"Office of the Executive Officer, Bhuban NAC",No ,No,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC",AOC,Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,26-Feb-2026 02:34 PM,finsummary_569726.pdf (5106.02 KB),Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,20-Feb-2026 03:03 PM,techsummary_569726.pdf (5106.02 KB),09-Mar-2026,"INR 424,058",60.0,SURENDRA NATH SAHOO,09-Mar-2026 05:19 PM,31_356.pdf (360.00 KB),aoc,1.0,3312897.0,Krushna Chandra Das,INR,"424,058",Municipal Bodies||Bhuban NAC,2025_ORULB_122602_31,BBN NAC 05/2025-26,Development of Road and Drain and Laying Paver Block two side road from Rout Sahi well to Harihar Pur Patana Up School.,1,3309938,ABINASH BEHERA,17-Dec-2025 07:15 AM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,Finance,ok,SURENDRA NATH SAHOO,20-Feb-2026 11:45 AM,,BOQ Comparative Chart,AOC
2.0,Notice,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,DTCN,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3312636,Babuli Patra,18-Dec-2025 04:50 AM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3314321,Bishnu Charan Barik,18-Dec-2025 03:33 PM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3313224,CHINMAYA KUMAR BEHERA,18-Dec-2025 10:25 AM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3307637,Chittaranjan Mishra,16-Dec-2025 02:57 PM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3312897,Krushna Chandra Das,18-Dec-2025 04:35 AM,Accepted-AOC,cs,09-Mar-2026 05:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3313166,MAKARA GURU,18-Dec-2025 12:36 PM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3312182,Namita Sahoo,17-Dec-2025 07:39 PM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3312959,Nibedita Pothal,18-Dec-2025 02:05 PM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3312293,PINTU DAS,18-Dec-2025 01:49 AM,Rejected-Technical,Lottary,20-Feb-2026 03:03 PM,,,,,,,AOC
