Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,Accepted this tender Work SI.No. 6 of Bid Identification No. 03/2025-26 due to more than one bidders are participating. Evaluation or scrutinization is to be taken up after opening of technical bid with all criteria,GULSAN DEB MARKAM,06-Mar-2026 09:05 AM,finance_563605.pdf,BOQ Comparative Chart,1.0,3254765.0,SUMANTINI GIRI,INR,"7,097,057.3",ST and SC Development Deptt||ITDA Rairangpur,2025_STSCD_121112_6,TCN032025-26,Construction of KGBV Hostel building at Chingudipokhari Nodal UPS under Kusumi Block.,JogaranjanNayak,Mixed,JogaranjanNayakPAITDAAmarNathSubudhiAEEstimatroGulsandevMarkamAEEJnanendraKumarSamalADWOManojkumarBindhaniJEPrakashRanjanDuttaSOKshirodChandraDhalSRA,GULSAN DEB MARKAM,06-Mar-2026 09:12 AM,finsummary_563605.pdf (589.59 KB),JogaranjanNayak,Mixed,JogaranjanNayakPAITDAAmarNathSubudhiAEEstimatroGulsandevMarkamAEEJnanendraKumarSamalADWOManojkumarBindhaniJEPrakashRanjanDuttaSOKshirodChandraDhalSRA,GULSAN DEB MARKAM,06-Mar-2026 09:08 AM,techsummary_563605.pdf (589.59 KB),06-Mar-2026,"INR 7,097,057.3",270.0,GULSAN DEB MARKAM,06-Mar-2026 09:17 AM,AOCDetails032526.pdf (3115.00 KB),"Sumantini Giri B Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1,3257808,ABHISEK KUMAR MOHANTY,26-Nov-2025 04:34 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,"83,485",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of KGBV Hostel building at Chingudipokhari Nodal UPS under Kusumi Block.,Construction of KGBV Hostel building at Chingudipokhari Nodal UPS under Kusumi Block.,As per tender documents. ,NA ,"83,48,497",Civil Works - Buildings,NA ,Tender,90.0,270.0,Chingudipokhari Nodal UPS,757050.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,ST and SC Development Deptt||ITDA Rairangpur,TCN032025-26,2025_STSCD_121112_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",12-Nov-2025 02:00 PM,27-Nov-2025 11:00 AM,12-Nov-2025 02:00 PM,26-Nov-2025 05:30 PM,NA ,NA ,12-Nov-2025 02:00 PM,26-Nov-2025 05:30 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3257005,BHAGYASHREE MOHANTA,26-Nov-2025 01:14 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3255335,B SATYENDRA NARAYAN GIRI,25-Nov-2025 07:56 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3255796,HIMANSU NARAYAN BARIK,25-Nov-2025 11:03 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3243430,joyram beshra,22-Nov-2025 03:55 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3256418,Jyoti Narayan Dalei,26-Nov-2025 11:25 AM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3256617,MOTINDRA NARAYAN BARIK,26-Nov-2025 12:03 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3257329,NARAYAN NAIK,26-Nov-2025 02:18 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3257148,ROHIT KUMAR SAHU,26-Nov-2025 01:37 PM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3256390,SAROJ KUMAR PARIDA,26-Nov-2025 11:18 AM,Rejected-AOC,L1,06-Mar-2026 09:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
