EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"8,500",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,Repair and Renovation of Mahakurpali MIP in Agalpur Block Of Balangir District Under The scheme ERM,Repair and Renovation of Mahakurpali MIP in Agalpur Block Of Balangir District Under The scheme ERM,Please refer tender documents ,NA ,"8,36,132",Civil Works - Water Works,NA ,Tender,90.0,90.0,Agalpur,767022.0,NA ,NA ,NA ,"O/o the S.E, M.I. Division, Balangir",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, valid GST, Valid PAN, Affidavit, NRC, Tender Cost, EMD, any other docs as per DTCN",26-Dec-2025 10:00 AM,06-Jan-2026 10:00 AM,26-Dec-2025 10:00 AM,05-Jan-2026 05:00 PM,NA ,NA ,26-Dec-2025 10:00 AM,05-Jan-2026 05:00 PM,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",06 (BGR)/ 2025-26,2025_CEMIB_123814_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"S.E.,M.I. Division, Balangir","O/o the S.E, M.I. Division, Balangir",AOC,19-Mar-2026,"INR 838,739",90.0,Rabindranath Sethi,19-Mar-2026 09:07 PM,Mahakurpali.pdf (215.00 KB),1,3345722,AGRAWAL STORES,05-Jan-2026 04:54 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,RN SETHI,Internal,,Rabindranath Sethi,19-Mar-2026 09:03 PM,techsummary_573305.pdf (214.58 KB),RN SETHI,Internal,,Rabindranath Sethi,19-Mar-2026 09:06 PM,finsummary_573305.pdf (214.58 KB),"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",2025_CEMIB_123814_5,06 (BGR)/ 2025-26,Repair and Renovation of Mahakurpali MIP in Agalpur Block Of Balangir District Under The scheme ERM,1.0,3344995.0,GOURA SAHU,INR,"838,739",Finance,RN SETHI,Rabindranath Sethi,19-Mar-2026 09:01 PM,finance_573305.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,2,3345034,ALOK CHANDRA PADHAN,05-Jan-2026 01:18 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3344995,GOURA SAHU,05-Jan-2026 01:08 PM,Accepted-AOC,Accepted,19-Mar-2026 09:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3345296,JAGABANDHU MEHER,05-Jan-2026 02:45 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3343711,LAMBODAR BISWAL,03-Jan-2026 07:45 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3344891,Lili Sahu,05-Jan-2026 12:27 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3344847,MANAS RANJAN BEHERA,05-Jan-2026 12:13 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3345172,RAJENDRA PRASAD SARANGI,05-Jan-2026 01:45 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3344270,SAROJ KUMAR HOTA,04-Jan-2026 08:13 PM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3344504,SHANKAR NANDA,05-Jan-2026 05:11 AM,Rejected-Finance,Rejected,19-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
