Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
18-Nov-2025 06:00 PM,05-Dec-2025 11:30 AM,18-Nov-2025 06:00 PM,04-Dec-2025 05:00 PM,18-Nov-2025 06:00 PM ,02-Dec-2025 02:00 PM ,18-Nov-2025 06:00 PM,04-Dec-2025 05:00 PM,29-Jan-2026 06:55 PM,Improvement to Kapasi-Korakora road in the district of Cuttack under MMSY-Improvement Existing RD road for the year 2025-26,Improvement to Kapasi-Korakora road in the district of Cuttack under MMSY-Improvement Existing RD road for the year 2025-26,Please refer Tender documents. ,NA ,"2,18,85,620",Civil Works - Roads,NA ,Tender,90.0,180.0,Cuttack,753004.0,NA ,NA ,NA ,C.C.E.R.W. Circle Cuttack,No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,C.C.E.R.W. Circle Cuttack,C.C.E.R.W. Circle Cuttack,"2,18,856",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship",CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC-24-25,2025_CERWI_121530_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Due Date Extended for tenders closing on 02-12-2025.,Admin Corrigendum Date Extend,,AOC,17-Mar-2026,"INR 21,885,619",180.0,Ajay Kumar Behera,17-Mar-2026 04:54 PM,agmt.pdf (113.00 KB),Agmt drawn,1,3270320,AMBIKA PRASAD SINGH,01-Dec-2025 08:55 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,C.C.E.R.W.Circle Cuttack,Internal,EERW Division Jspur DAO RW Division Jspur PA to CCE,Usharani Behera,29-Jan-2026 06:51 PM,29-Jan-2026 06:55 PM,techsummary_565409.pdf (585.46 KB),1.0,Tender revocation,Tender revocation,29-Jan-2026 06:23 PM,613.pdf ,569.15,Technical Opening,Finance,Total 16 nos document downloaded,Usharani Behera,30-Jan-2026 01:13 PM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_121530_3,Tender Online RWC-24-25,Improvement to Kapasi-Korakora road in the district of Cuttack under MMSY-Improvement Existing RD road for the year 2025-26,Technical,Total 17 nos document downloaded,Usharani Behera,29-Jan-2026 06:33 PM,,C.C.E.R.W.Circle Cuttack,Internal,SE RW Division Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,17-Mar-2026 04:51 PM,finsummary_565409.pdf (395.67 KB),1.0,3279247.0,SOVAN MOHAPATRA,INR,"21,885,619",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3271194,CHANDAN SINGH,01-Dec-2025 10:45 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand checklist machineries as",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3259830,DEBASIS PATI,04-Dec-2025 01:43 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3276173,KABINDRA DHAL,03-Dec-2025 07:59 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3270644,M/S HK ROUT AND PARTNER,01-Dec-2025 08:27 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3262809,M/S. RAGHUNATH KANDI,01-Dec-2025 08:44 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3268891,PRADIPTA KUMAR ROUT,03-Dec-2025 06:08 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3271806,PRATAP KUMAR UDAYASINGH,02-Dec-2025 11:56 AM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3272433,RAJIV KUMAR BISWAL,02-Dec-2025 01:49 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3268488,RANJAN KUMAR SWAIN,01-Dec-2025 05:35 PM,Rejected-Finance,Unsucessful bidder,17-Mar-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
