Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
29-Jul-2025 01:00 PM,06-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,29-Jul-2025 01:00 PM ,04-Aug-2025 05:00 PM ,29-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,19-Nov-2025 09:45 AM,"7,080",0.0,Nil,Nil,Yes,"12,084",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Civil, Electrical license, Rig documents,Joint venture, Affidavit,EMD,Paper cost as pkg require",PKG19,Revival and restoration of Badapatuli II TW under Korai Block in Jajpur District,Please refer to the DTCN ,NA ,"12,08,424",Civil Works - Lift Irrigation Schemes,Electrical works ,Tender,180.0,90.0,Jajpur Road,755019.0,NA ,NA ,NA ,"O/O Executive Engineer, L.I.Division, Jajpur Road",No ,No,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",1278_OLIC_18_07_25,2025_OLIC_116177_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, L.I.Division, Jajpur Road","O/O Executive Engineer, L.I.Division, Jajpur Road",1.0,ICICI BANK,AOC,1,3022449,ANIL KUMAR SAMANTARAY,04-Aug-2025 02:00 PM,Rejected-AOC,Being L2 and L1 accepted the bid,01-Mar-2026 03:50 PM,15-Dec-2025,"INR 1,212,192",90.0,AJAYA KUMAR MISHRA,01-Mar-2026 03:50 PM,PKG19.pdf (44.00 KB),Revival and restoration of Badapatuli II TW under Korai Block,Ajaya Kumar Mishra,Internal,Purusottam Vishwakarma and Saroj Kumar Mohanty,AJAYA KUMAR MISHRA,19-Nov-2025 09:41 AM,19-Nov-2025 09:45 AM,techsummary_547762.pdf (33.03 KB),Finance,Opened Successfully,AJAYA KUMAR MISHRA,21-Nov-2025 05:34 PM,finance_547762.pdf,BOQ Comparative Chart,Technical,Opened Successfully,PURUSOTTAM VISHWAKARMA,12-Aug-2025 04:16 PM,technical_547762.pdf,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",2025_OLIC_116177_19,1278_OLIC_18_07_25,PKG19,Ajaya Kumar Mishra,Internal,Purusottam Vishwakarma and Saroj Kumar Mohanty,AJAYA KUMAR MISHRA,08-Dec-2025 04:55 PM,finsummary_547762.pdf (43.58 KB),1.0,3023912.0,SARITA DAS,INR,"1,212,192",AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN should be filled in capital letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3024083,Anushka Infrastructure Prop -Hrushi Kesha Pati,05-Aug-2025 01:33 PM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3019793,BABAN DAS,02-Aug-2025 08:20 PM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3023978,Golekha Bihari Aich,05-Aug-2025 10:24 AM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3024010,JAGDEV PANDA,05-Aug-2025 12:10 AM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3022783,JAY SHREERAM CONSTRUCTION,04-Aug-2025 11:09 PM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3022451,PRAMOD KUMAR NAYAK,03-Aug-2025 07:28 PM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3023933,SAGARIKA DAS,05-Aug-2025 02:10 AM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3022062,SANTANU KUMAR SAHOO,03-Aug-2025 12:48 PM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3023912,SARITA DAS,04-Aug-2025 10:31 PM,Accepted-AOC,Being L1 Accepted the bid,01-Mar-2026 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3022099,Tirtha Ranjan Nayak,03-Aug-2025 11:33 AM,Rejected-Finance,Lost of the lottery,08-Dec-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
