S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3180528.0,Ram Chandra Choudnary,INR,"35,918,402.71",OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,18-Mar-2026 07:00 PM,finsummary_556935.pdf (490.65 KB),Technical,Tender documents to be verified.,Arjuna Muduli,06-Nov-2025 04:51 PM,technical_556935.pdf,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_119727_3,NCB-19/RWCRGDA/2025-26,Construction and Improvement to Seetanagar AP Border Paralekhaymundi Municipality Road to AP Border in the District of Gajapati under MMSY Improvement of Existing RD Road for the year 2025 26,Finance,Verified,Santoshi Mahapatra,09-Feb-2026 07:01 PM,finance_556935.pdf,BOQ Comparative Chart,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,05-Feb-2026 12:41 PM,09-Feb-2026 11:00 AM,techsummary_556935.pdf (3043.93 KB),18-Mar-2026,"INR 35,918,402.71",270.0,Binod Behari Das,18-Mar-2026 07:10 PM,SeetasagarApBorder.pdf (985.00 KB),Work Awarded to RAM CHANDRA CHOUDHURY,1,3175364,Bhagaban Muguli,02-Nov-2025 10:29 PM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"AFFIDAVIT,PAN,GST,WORK EXPERIENCE TURN OVER, MACHINERIES",CE RW I||RWCIRCLE-RAYAGADA,NCB-19/RWCRGDA/2025-26,2025_CERWI_119727_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"4,22,520",Yes,fixed,,Nil,Nil,CHIEF CONSTRUCTION ENGINEER RW CIRCLE RAYAGADA,CHIEF CONSTRUCTION ENGINEER RW CIRCLE RAYAGADA AT RANIGUDA FIRM HATIPATHAR 765001,"10,000",0.0,Nil,Nil,No,Construction and Improvement to Seetanagar AP Border Paralekhaymundi Municipality Road to AP Border in the District of Gajapati under MMSY Improvement of Existing RD Road for the year 2025 26,ROAD WORKS,Please refer Tender documents. ,NA ,"4,22,52,000",Civil Works - Roads,NA ,Tender,90.0,270.0,EE RW DIVISION GAJAPATI,761200.0,NA ,NA ,NA ,OFFICE OF THE CCE RW CIRCLE RAYAGADA,No ,No,18-Oct-2025 09:00 AM,06-Nov-2025 11:00 AM,18-Oct-2025 09:00 AM,04-Nov-2025 05:00 PM,18-Oct-2025 09:00 AM ,03-Nov-2025 05:00 PM ,18-Oct-2025 09:00 AM,04-Nov-2025 05:00 PM,09-Feb-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3168410,Ch Mohan Rao,03-Nov-2025 11:47 AM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3181219,DEVADI RAJESH KUMAR,04-Nov-2025 03:36 PM,Rejected-Technical,Disqualified due to not furnishing undertaking in shape of declaration by the bidder that he will procure the material mix from the Hot Mix Plant established within 60Km from the work site before execution of the work vide Cl 2 1 7 ITB of DTCN,05-Feb-2026 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3181230,M/s SHREE INFRA AND CO,04-Nov-2025 03:54 PM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3162996,M/S S. KARUNAKAR RAO,04-Nov-2025 09:49 AM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3165957,NARASINGH PATRA,30-Oct-2025 07:40 PM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3169530,PRASANNA KUMAR KABI,03-Nov-2025 10:36 PM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3170907,P VARA PRASAD,04-Nov-2025 11:12 AM,Rejected-Technical,Disqualified due to not furnishing EMD in accordance to Works Department Notification No 6785 dtd 09 05 2017 vide Cl No 1 4 of DTCN,05-Feb-2026 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3180528,Ram Chandra Choudnary,04-Nov-2025 01:08 PM,Accepted-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3179648,ROUTHU SUNIL KUMAR,04-Nov-2025 11:31 AM,Rejected-AOC,Work Awarded to RAM CHANDRA CHOUDHURY,18-Mar-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
