Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Two nos of bidders have participated,Sudarsan Sadangi,07-Jul-2025 12:36 PM,,BOQ Comparative Chart,1,2829735,M/s Ganesh Borewells,22-Feb-2025 04:12 PM,Accepted-AOC,L-1 Bidder,17-Mar-2026 06:38 PM,Technical,Two nos of bidders have participated,Sudarsan Sadangi,25-Feb-2025 11:58 AM,,MD OLIC LTD,Internal,"FA-CUM-CAO DOWR, FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, REP. OF DIRECTOR GWD, EE (MP) OLIC",Sudarsan Sadangi,15-Oct-2025 03:41 PM,finsummary_527092.pdf (17372.14 KB),15-Oct-2025,"INR 62,227,770.07",180.0,Sudarsan Sadangi,17-Mar-2026 06:37 PM,OrderSambalpur02.pdf (436.00 KB),ORDER,CE MECH DOWR,External,"FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, ADDL. DIRECTOR GWD, EE (ELECT.) OLIC, EE (MP) OLIC",Sudarsan Sadangi,02-Jul-2025 11:55 AM,07-Jul-2025 11:00 AM,techsummary_527092.pdf (12490.21 KB),1.0,2829735.0,M/s Ganesh Borewells,INR,"62,227,770.07",Orissa Lift Irrigation Corporation,2025_OLIC_109754_3,733 DT-21.01.2025,"Installatin, Electrification, Energisation and Commissioning of Borewells in SAMBALPUR District Pkg-02 BID ID-03",AOC,28-Jan-2025 10:00 AM,25-Feb-2025 11:00 AM,28-Jan-2025 10:00 AM,24-Feb-2025 05:00 PM,28-Jan-2025 10:00 AM ,11-Feb-2025 05:00 PM ,28-Jan-2025 10:00 AM,24-Feb-2025 05:00 PM,07-Jul-2025 11:00 AM,"11,800",0.0,Nil,Nil,Yes,1,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",Orissa Lift Irrigation Corporation,733 DT-21.01.2025,2025_OLIC_109754_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,"Installatin, Electrification, Energisation and Commissioning of Borewells in SAMBALPUR District Pkg-02 BID ID-03","Installatin, Electrification, Energisation and Commissioning of Borewells in SAMBALPUR District Pkg-02 BID ID-03",Please refer Tender Document DTCN ,NA ,"6,40,20,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,730.0,180.0,SAMBALPUR,768001.0,NA ,NA ,NA ,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,No ,No,MD OLIC,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,"6,40,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,2,2829369,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,22-Feb-2025 06:33 PM,Rejected-Finance,Rejected by Tender Committee,15-Oct-2025 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
