Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Special Repair to Laikera Excise Station at Laikera in the district of Jharsuguda for the year 2025-26,Special Repair to Laikera Excise Station at Laikera in the district of Jharsuguda for the year 2025-26,NA ,NA ,"6,71,174",Civil Works - Buildings,NA ,Tender,90.0,30.0,Jharsuguda,768204.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JHARSUGUDA",No ,No,19-Jan-2026 03:00 PM,31-Jan-2026 11:00 AM,19-Jan-2026 03:00 PM,30-Jan-2026 05:00 PM,19-Jan-2026 03:00 PM ,28-Jan-2026 05:00 PM ,19-Jan-2026 03:00 PM,30-Jan-2026 05:00 PM,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,Online SEJSG 14 of 2025-26,2026_CERWI_124788_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, JHARSUGUDA","6,712",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GSTN No. EMD, Affidavit Online Cost of tender paper etc. as per DTCN",AOC,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,2026_CERWI_124788_1,Online SEJSG 14 of 2025-26,Special Repair to Laikera Excise Station at Laikera in the district of Jharsuguda for the year 2025-26,Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,13-Feb-2026 05:04 PM,finsummary_576626.pdf (25.84 KB),Finance,Accept,Pratima Naik,05-Feb-2026 11:21 AM,,BOQ Comparative Chart,1.0,3374186.0,SUSHREE SANGITA DASH,INR,"570,565",1,3373666,AMIT KUMAR SHARMA,30-Jan-2026 12:00 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,27-Feb-2026,"INR 570,565",30.0,Ashish Kumar Lenka,05-Mar-2026 03:55 PM,998.pdf (900.00 KB),Work order for the work Special Repair to Laikera Excise Station at Laikera in the district of Jharsuguda for the year 2025-26,Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,13-Feb-2026 04:09 PM,techsummary_576626.pdf (25.84 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,2,3373213,Ananda Kumar Sharma,30-Jan-2026 03:28 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3373452,Binata Pandey,30-Jan-2026 11:01 AM,Rejected-Technical,Rejected,13-Feb-2026 04:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3374232,BIRENDRA SAHU,30-Jan-2026 02:31 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3373716,KRISHNA KUMAR SINHA,30-Jan-2026 12:55 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3374028,MAA CONSTRUCTION,30-Jan-2026 01:40 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3374618,PINKEY AGRAWAL,30-Jan-2026 04:54 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3374274,PRATIK CONSTRUCTION,30-Jan-2026 02:51 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3374408,RAMESH CHANDRA NAIK,30-Jan-2026 03:40 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3374386,SANJULATA NAIK,30-Jan-2026 03:23 PM,Rejected-AOC,Unsuccessful,05-Mar-2026 03:56 PM,,,,,,,,,,,,,,AOC
