S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3025557.0,R S Infrastructure,INR,"135,034,900",EIC Civil Roads-I,Internal,,Pradipta Kumar Nayak,25-Mar-2026 01:49 PM,finsummary_546792.pdf (832.57 KB),Technical,Opening,Pradipta Kumar Nayak,08-Aug-2025 07:36 PM,,EIC-CIVIL,2025_EICCL_115861_1,CE-ROADS-II-07/2025-26,Improvement of Parsumal-Kishorenagar road from 0/00 km to 19/857 km in the district of Angul under State Plan,Finance,Opening,Pradipta Kumar Nayak,15-Dec-2025 12:53 PM,,BOQ Comparative Chart,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,09-Dec-2025 06:42 PM,15-Dec-2025 11:30 AM,techsummary_546792.pdf (259.78 KB),25-Mar-2026,"INR 135,034,900",540.0,Pradipta Kumar Nayak,25-Mar-2026 01:53 PM,Persumal_Kishorenagar.pdf (833.00 KB),2681 of 2025-26,1,3025535,Anil Kumar Mishra,07-Aug-2025 10:27 AM,Rejected-AOC,L1 bidder,25-Mar-2026 01:53 PM,AOC,EIC-CIVIL,CE-ROADS-II-07/2025-26,2025_EICCL_115861_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,22-Jul-2025 10:00 AM,08-Aug-2025 11:30 AM,22-Jul-2025 10:00 AM,07-Aug-2025 05:30 PM,NA ,NA ,22-Jul-2025 10:00 AM,07-Aug-2025 05:30 PM,15-Dec-2025 11:30 AM,"15,88,000",Yes,fixed,,Nil,Nil,Improvement of Parsumal-Kishorenagar road from 0/00 km to 19/857 km in the district of Angul under State Plan,Improvement of Parsumal-Kishorenagar road from 0/00 km to 19/857 km in the district of Angul under State Plan,Please refer Tender documents. ,NA ,"15,88,45,900",Civil Works - Roads,NA ,Tender,90.0,540.0,Angul Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3019117,MAHENDRA SAHOO,07-Aug-2025 03:54 PM,Rejected-Technical,Disqualified,09-Dec-2025 06:42 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3016141,MOTIRANJAN SAHOO,05-Aug-2025 11:49 AM,Rejected-AOC,L1 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3027356,M/S SAHEB CONSTRUCTION,07-Aug-2025 04:20 PM,Rejected-Finance,Other than L1 and L2 bidder,25-Mar-2026 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3022715,M/s.S.K.Agarwalla,06-Aug-2025 07:04 PM,Rejected-AOC,L1 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3027120,MUKESH KUMAR,07-Aug-2025 03:39 PM,Rejected-AOC,L1 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3025557,R S Infrastructure,07-Aug-2025 01:55 PM,Accepted-AOC,Selected as L1 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3022581,Santosh Kumar Mishra,05-Aug-2025 10:32 PM,Rejected-AOC,L1 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3026258,SHANTI CONSTRUCTION SAMBALPUR PVT. LTD.,07-Aug-2025 01:17 PM,Rejected-AOC,L1 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3022722,SRINIBASH MISHRA,07-Aug-2025 01:46 PM,Rejected-AOC,L2 bidder,25-Mar-2026 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
