S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3373757.0,LAXMI NARAYAN BISSOI,INR,"1,270,955",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_124950_12,EERWNGP Online 11 2025 26,"SR to Ukiapalli to Baragam road such as Profile Correction,CC road at Ch-2/825 to 3/035 km in Kosagumuda Block for the year 2025 26",1,3373227,AKASH BISSOI,30-Jan-2026 12:25 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,25-Mar-2026,"INR 1,270,955",30.0,Jay Prakash Soren,25-Mar-2026 05:06 PM,wo06Copy.pdf (208.00 KB),Finance,Bid Opening,Shiba Sankar Mohanta,24-Mar-2026 07:04 PM,finance_577515.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator,DAO,EE",Shiba Sankar Mohanta,25-Mar-2026 11:49 AM,finsummary_577515.pdf (699.68 KB),Executive Engineer,Internal,"Estimator,DAO,EE",Shiba Sankar Mohanta,25-Mar-2026 11:40 AM,techsummary_577515.pdf (699.68 KB),AOC,23-Jan-2026 11:00 AM,31-Jan-2026 11:00 AM,23-Jan-2026 11:00 AM,30-Jan-2026 03:00 PM,23-Jan-2026 11:00 AM ,30-Jan-2026 03:00 PM ,23-Jan-2026 11:00 AM,30-Jan-2026 03:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 11 2025 26,2026_CERWI_124950_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"12,710",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,"SR to Ukiapalli to Baragam road such as Profile Correction,CC road at Ch-2/825 to 3/035 km in Kosagumuda Block for the year 2025 26","SR to Ukiapalli to Baragam road such as Profile Correction,CC road at Ch-2/825 to 3/035 km in Kosagumuda Block for the year 2025 26",Please refer to tender documents ,NA ,"12,70,955",Civil Works - Roads,NA ,Tender,90.0,30.0,Kosagumuda,764061.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3367014,AMLAN JYOTI MADALA,26-Jan-2026 10:38 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3371090,ASHOK KUMAR CHOUDHURY,30-Jan-2026 11:47 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3373249,ASHOK MOHANTY,30-Jan-2026 01:14 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3373606,CHANDRA HARIJAN,30-Jan-2026 11:33 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3371588,DEBA RANJAN PATRA,29-Jan-2026 10:21 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3371802,DHANURJYA BISOI,29-Jan-2026 02:52 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3370790,HARIHAR MALI,28-Jan-2026 04:46 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3367569,Hemanta Kumar Bhakta,27-Jan-2026 11:45 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3370776,JUGAL MALI,28-Jan-2026 05:12 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
