Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar",BID IDENTIFICATION NO- Addl. C.E EMIC No.- 05/EMIC/2025-26,2025_CEMIB_123459_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,12,560",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"Addl. Chief Engineer, EMIC, Keonjhar","Addl. Chief Engineer, EMIC, Keonjhar",Construction of Arjunchua Check Dam over Baghira Nallah in Harichandanpur Block of Keonjhar District under MATY Scheme for the year 2025-26.,Construction of Arjunchua Check Dam over Baghira Nallah in Harichandanpur Block of Keonjhar District under MATY Scheme for the year 2025-26.,Please refer Tender documents. ,NA ,"1,12,56,000",Civil Works - Others,NA ,Tender,90.0,180.0,Harichandanpur Block of Keonjhar District,758001.0,NA ,NA ,NA ,"O/o the Addl. C.E, EMIC, Keonjhar",No ,No,18-Dec-2025 03:00 PM,30-Dec-2025 11:00 AM,18-Dec-2025 03:00 PM,29-Dec-2025 05:00 PM,NA ,NA ,18-Dec-2025 03:00 PM,29-Dec-2025 05:00 PM,28-Jan-2026 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD, GST, PAN, No Relation Certificate, Affidavit and other Document as per DTCN",AOC,1,3334751,ABHILASH PATRA,28-Dec-2025 08:37 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,12-Mar-2026,"INR 9,568,190.5",180.0,Sandip Mohanty,12-Mar-2026 07:05 PM,NIT.pdf (448.00 KB),Finance,37 NOS BIDDERS,Sandip Mohanty,28-Jan-2026 12:20 PM,,BOQ Comparative Chart,"ACE, EMIC, Keonjhar",Internal,,Sandip Mohanty,28-Jan-2026 11:00 AM,28-Jan-2026 11:30 AM,techsummary_572240.pdf (4932.41 KB),"ACE, EMIC, Keonjhar",Internal,,Sandip Mohanty,12-Mar-2026 07:00 PM,finsummary_572240.pdf (448.15 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar",2025_CEMIB_123459_1,BID IDENTIFICATION NO- Addl. C.E EMIC No.- 05/EMIC/2025-26,Construction of Arjunchua Check Dam over Baghira Nallah in Harichandanpur Block of Keonjhar District under MATY Scheme for the year 2025-26.,Technical,37 NOS,Sandip Mohanty,03-Jan-2026 09:45 PM,,1.0,3323528.0,AJAY KUMAR ROUT,INR,"9,568,190.5",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,AOC,2,3323528,AJAY KUMAR ROUT,22-Dec-2025 07:28 PM,Accepted-AOC,QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3337362,ALOK KUMAR BEHERA,29-Dec-2025 03:21 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3326594,ANITA NAIK,24-Dec-2025 05:06 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3327929,ASIS KUMAR THAMB,25-Dec-2025 04:45 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3332312,ATISH KUMAR SAHOO,27-Dec-2025 06:14 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3330952,AUROBINDA DAS,27-Dec-2025 12:01 AM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3332176,BIJAYANANDA SAHOO,27-Dec-2025 05:36 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3323758,BIKASH KUMAR JENA,22-Dec-2025 08:59 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3337877,BINAYA SIBASUNDAR DHAL,29-Dec-2025 04:56 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3331906,BISMAY KUMAR SAHOO,27-Dec-2025 04:19 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3337461,CHINTAMANI SAHOO,29-Dec-2025 03:36 PM,Rejected-AOC,DIS QUALIFIED,12-Mar-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
