Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Estimator,DAO,Executive Engineer",Internal,,Prasanna Kumar Pattanaik,15-Jan-2026 03:54 PM,15-Jan-2026 04:30 PM,techsummary_573532.pdf (523.70 KB),Finance,Bid opening Summary,Shyam Sundar Behera,15-Jan-2026 04:44 PM,,BOQ Comparative Chart,19-Mar-2026,"INR 8,124,576.312",270.0,Prasanna Kumar Pattanaik,19-Mar-2026 01:28 PM,WORKORDERRESTSHEDBISSAMCUTTACK.pdf (265.00 KB),1,3346879,ANANTA KUMAR GOUDO,06-Jan-2026 04:27 PM,Rejected-Finance,2nd LOWEST,19-Mar-2026 01:21 PM,1.0,3343941.0,KARAKARIA GAJENDRA,INR,"8,124,576.312",CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_123914_1,EERWRGD Online 14 2025 26,Construction of rest shed at Bissam cuttack for the year 2025-26-Building,Technical,Bid opening Summary,Sujata Hembram,07-Jan-2026 11:54 PM,,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,19-Mar-2026 01:21 PM,finsummary_573532.pdf (569.71 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Electrical Joint Venture and other papers as per DTCN,29-Dec-2025 11:00 AM,07-Jan-2026 11:00 AM,29-Dec-2025 11:00 AM,06-Jan-2026 05:00 PM,29-Dec-2025 11:00 AM ,05-Jan-2026 05:00 PM ,29-Dec-2025 11:00 AM,06-Jan-2026 05:00 PM,15-Jan-2026 04:30 PM,Construction of rest shed at Bissam cuttack for the year 2025-26-Building,Construction of rest shed at Bissam cuttack for the year 2025-26-Building,NA ,NA ,"95,58,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 14 2025 26,2025_CERWI_123914_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",1.0,ICICI BANK,"95,580",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,2,3346538,BASUDEB DAS,06-Jan-2026 04:18 PM,Rejected-Finance,2nd LOWEST,19-Mar-2026 01:21 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,3346783,DEVENDRA BISOI,06-Jan-2026 03:20 PM,Rejected-Technical,Disqualified due to non submission of affidavit of Joint venture,15-Jan-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3346663,ITISHREE JENA,06-Jan-2026 04:42 PM,Rejected-AOC,1st LOWEST,19-Mar-2026 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,3342745,JYOTIRAN NAIK,06-Jan-2026 04:50 PM,Rejected-Technical,Disqualified due to non submission of affidavit of Joint venture,15-Jan-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,3343941,KARAKARIA GAJENDRA,04-Jan-2026 01:18 PM,Accepted-AOC,AS PER LOTTER WINER,19-Mar-2026 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,3342766,LAMBODARA NAIK,06-Jan-2026 04:47 PM,Rejected-Technical,Disqualified due to non submission of affidavit of Joint venture,15-Jan-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,3346740,Sahil Singh,06-Jan-2026 02:57 PM,Rejected-AOC,1st LOWEST,19-Mar-2026 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,3346430,SIBASIS SAHU,06-Jan-2026 04:04 PM,Rejected-Technical,Disqualified due to non submission of affidavit of Joint venture,15-Jan-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,3346878,TANGUDU KALYAN KUMAR,06-Jan-2026 04:39 PM,Rejected-Finance,2nd LOWEST,19-Mar-2026 01:21 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
