Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Improvement to canal service road of Kalo Main Disty. near Kanthala Aqueduct near RD. 7077m of Kalo Irrn. Project,road work,Please refer Tender documents. ,NA ,"13,27,270",Civil Works - Others,NA ,Tender,90.0,90.0,Baripada,757002.0,NA ,NA ,NA ,"O/o the S.E., Mayurbhanj Irrn. Divn. Baripada.",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,ONLINETENDER COST EMD RC GST AFFIDAVIT NO RELATION PAYMENT REPORT OTHER DOCUMENTS AS DTCN,"S.E., Mayurbhanj Irrigation Division, Baripada","O/o the S.E., Mayurbhanj Irrn. Divn. Baripada.",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"13,500",Yes,fixed,,Nil,Nil,25-Nov-2025 10:00 AM,05-Dec-2025 11:00 AM,25-Nov-2025 10:00 AM,04-Dec-2025 05:00 PM,25-Nov-2025 10:00 AM ,02-Dec-2025 05:00 PM ,25-Nov-2025 10:00 AM,04-Dec-2025 05:00 PM,"CE-BM,BSB Basin,Laxmiposi||SE,Baripada Irr.Circle,Takatpur||EE, Mayurbhanj Irr.Divn,Baripada",03MBJ/2025-26(6),2025_CEBML_121743_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,3274824,BASANTI BEHERA,03-Dec-2025 01:55 PM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,05-Mar-2026,"INR 1,331,409",90.0,Ramlal Tiu,05-Mar-2026 04:56 PM,06.pdf (364.00 KB),P Patra,Internal,,Ramlal Tiu,05-Mar-2026 04:46 PM,techsummary_566324.pdf (364.06 KB),P Patra,Internal,,Ramlal Tiu,05-Mar-2026 04:51 PM,finsummary_566324.pdf (364.06 KB),"CE-BM,BSB Basin,Laxmiposi||SE,Baripada Irr.Circle,Takatpur||EE, Mayurbhanj Irr.Divn,Baripada",2025_CEBML_121743_1,03MBJ/2025-26(6),Improvement to canal service road of Kalo Main Disty. near Kanthala Aqueduct near RD. 7077m of Kalo Irrn. Project,1.0,3278862.0,YUDHISTIR BISWAL,INR,"1,331,409",Finance,summary report,Ramlal Tiu,05-Mar-2026 04:41 PM,finance_566324.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3274287,BIBEKANANDA PRADHAN,03-Dec-2025 04:50 PM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3276016,BINOD KUMAR BISWAL,04-Dec-2025 06:33 AM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3255881,Biswajit Pramanik,04-Dec-2025 12:26 PM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3265438,Dibyabharati Rout,04-Dec-2025 11:30 AM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3278627,DIPAK KUMAR DAS,04-Dec-2025 02:36 PM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3276097,JIBAN KUMAR SA,03-Dec-2025 07:16 PM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3274006,KRUSHNA CHANDRA SAHU,03-Dec-2025 02:49 PM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3274923,MAA JAGADHATRI LCCS LTD,04-Dec-2025 08:42 AM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3272845,MANAS KUMAR NAYAK,04-Dec-2025 11:02 AM,Rejected-Technical,Does not elected in lottery,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
