Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",1.0,ICICI BANK,"7,11,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",Improvement to LFB of river Rushikulya near village Bhaliapalli.,Improvement to LFB of river Rushikulya near village Bhaliapalli.,AS PER DTCN. ,NA ,"7,10,93,283",Civil Works - Others,NA ,Tender,90.0,270.0,Bhanjanagar town in Ganjam district.,761126.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,"11,800",Nil,Nil,No,21-Aug-2025 06:00 PM,11-Sep-2025 12:00 PM,21-Aug-2025 06:00 PM,10-Sep-2025 05:30 PM,21-Aug-2025 06:00 PM ,27-Aug-2025 03:30 PM ,21-Aug-2025 06:00 PM,10-Sep-2025 05:30 PM,06-Nov-2025 11:30 AM,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No. 37/OCCL/2025-26(on-line),2025_OCCL_117181_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Opened Successfully.,Pratap Chandra Chaudhury,11-Sep-2025 12:55 PM,,1,3074245,AB INFRAPROJECTS PVT LTD,10-Sep-2025 05:24 PM,Rejected-Finance,L2 BIDDER.,13-Nov-2025 05:17 PM,Finance,Opened Successfully.,Pratap Chandra Chaudhury,06-Nov-2025 11:42 AM,,BOQ Comparative Chart,06-Jan-2026,"INR 60,436,399",270.0,Sarat Chandra Ghadei,19-Mar-2026 04:17 PM,AOC_Bhaliapalli.pdf (514.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,13-Nov-2025 05:17 PM,finsummary_550150.pdf (587.34 KB),MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,04-Nov-2025 09:26 PM,06-Nov-2025 11:30 AM,techsummary_550150.pdf (299.54 KB),1.0,3063300.0,Prakash Chandra Sahu,INR,"60,436,399",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_117181_1,E-procurement Notice No. 37/OCCL/2025-26(on-line),Improvement to LFB of river Rushikulya near village Bhaliapalli.,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,3072944,AMRIT PRADHAN,09-Sep-2025 10:13 PM,Rejected-Technical,Non - Responsive.,04-Nov-2025 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,3064399,Ganesh Chandra Mohanty,10-Sep-2025 01:36 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,13-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,3068699,LAXMINARAYAN MALLICK,08-Sep-2025 01:00 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,13-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,3073019,m/s Anand Kumar Agrawal,10-Sep-2025 12:07 AM,Rejected-Technical,Non - Responsive.,04-Nov-2025 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,3063300,Prakash Chandra Sahu,07-Sep-2025 07:27 AM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,19-Mar-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,3068001,SUBHAM ROUT,07-Sep-2025 11:29 PM,Rejected-Finance,L3 BIDDER.,13-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,3070540,Surendranath Gouda,10-Sep-2025 11:42 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,13-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
