S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2940055.0,LAXMIDHAR SWAIN,INR,"4,707,774.59",Superintending Engineer,Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Harish Chandra Purty,20-Aug-2025 12:21 PM,finsummary_540170.pdf (476.98 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,2025_CERWI_113605_1,Tender Online Divn.NPR-01/2025-26,Construction of BPHU building at CHC Bangurigaon under Kakatpur Block in the district of Puri for the year 2024-25 under PM ABHIM,Technical,List attached,Satyajit Dalai,24-Jun-2025 04:24 PM,technical_540170.pdf,Finance,Lottery on dtd. 30.06.2025 from 3.30PM,Satyajit Dalai,28-Jun-2025 02:51 PM,finance_540170.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Satyajit Dalai,24-Jun-2025 04:31 PM,24-Jun-2025 05:00 PM,techsummary_540170.pdf (546.24 KB),1,2939024,ABHIJIT SWAIN,28-May-2025 08:11 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,22-Aug-2026,"INR 4,707,774.59",90.0,Mausumi Mishra,09-Mar-2026 09:47 AM,Bangu.pdf (851.00 KB),AOC,Construction of BPHU building at CHC Bangurigaon under Kakatpur Block in the district of Puri for the year 2024-25 under PM ABHIM,Building Works,Please refer Tender documents. ,NA ,"55,38,000",Civil Works - Buildings,NA ,Tender,90.0,NA ,Nimapara,752106.0,NA ,NA ,NA ,"SUPERINTENDING ENGINEER, R.W DIVISION, NIMAPARA",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,Tender Online Divn.NPR-01/2025-26,2025_CERWI_113605_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"O/O THE SUPERINTENDING ENGINEER, R.W DIVISION, NIM","O/O THE SUPERINTENDING ENGINEER, R.W DIVISION, NIM",1.0,Fee/PreQual/Technical,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","10,000",0.0,Nil,Nil,No,19-May-2025 04:30 PM,30-May-2025 11:00 AM,19-May-2025 04:30 PM,29-May-2025 05:00 PM,19-May-2025 04:30 PM ,28-May-2025 05:00 PM ,19-May-2025 04:30 PM,29-May-2025 05:00 PM,24-Jun-2025 05:00 PM,"55,380",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2939321,BASANTA KUMAR KANDI,29-May-2025 03:00 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2931015,BASANT SWAIN,24-May-2025 05:06 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2936446,BISWOJIT PATTANAIK,27-May-2025 11:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Jun-2025 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2940730,JITENDRA PRASAD BEHERA,29-May-2025 03:39 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2938700,JYOTI RANJAN RAUT,28-May-2025 05:40 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2940700,Lalita Mohanty,29-May-2025 03:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Jun-2025 04:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2940055,LAXMIDHAR SWAIN,29-May-2025 02:23 PM,Accepted-AOC,Work has been awarded to in lottery system,09-Mar-2026 09:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2932147,PADMALOCHAN PRADHAN,27-May-2025 10:06 AM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2939876,SMRUTI DHAR BEHERA,29-May-2025 11:54 AM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
