Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of Drain With Cover Slab Near Bullet House at SVM Colony in Ward No.17,Construction of Drain With Cover Slab Near Bullet House at SVM Colony in Ward No.17,Please refer Tender documents ,NA ,"5,70,000",Civil Works - Others,NA ,Tender,90.0,90.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality Office,No ,No,"Executive Officer, Rajgangpur Municipality","Executive Officer, Rajgangpur Municipality, Dist-Sundargarh","5,700",Yes,fixed,,Nil,Nil,24-Dec-2025 11:00 AM,07-Jan-2026 11:00 AM,24-Dec-2025 11:00 AM,06-Jan-2026 04:00 PM,NA ,NA ,24-Dec-2025 11:00 AM,06-Jan-2026 04:00 PM,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Rajgangpur Municipality,EO/RGP/05 of 2025-26,2025_ORULB_123659_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,Madhuri Lugun,Internal,,Gobinda Dansena,09-Mar-2026 04:15 PM,finsummary_573169.pdf (1039.71 KB),Madhuri Lugun,Internal,,Gobinda Dansena,09-Mar-2026 04:13 PM,techsummary_573169.pdf (1039.71 KB),1,3346707,BISWAJIT SANTRA,06-Jan-2026 02:10 PM,Rejected-AOC,Rejected,09-Mar-2026 04:17 PM,Municipal Bodies||Rajgangpur Municipality,2025_ORULB_123659_46,EO/RGP/05 of 2025-26,Construction of Drain With Cover Slab Near Bullet House at SVM Colony in Ward No.17,1.0,3343965.0,RAJARAM NAYAK,INR,"570,000",09-Mar-2026,"INR 570,000",90.0,Gobinda Dansena,09-Mar-2026 04:17 PM,46.pdf (111.00 KB),Finance,ok,Gobinda Dansena,09-Mar-2026 04:10 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,2,3343965,RAJARAM NAYAK,04-Jan-2026 01:39 PM,Accepted-AOC,Selected,09-Mar-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,AOC
