Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
08-Aug-2025 01:00 PM,16-Aug-2025 11:00 AM,08-Aug-2025 01:00 PM,14-Aug-2025 05:00 PM,08-Aug-2025 01:00 PM ,13-Aug-2025 02:00 PM ,08-Aug-2025 01:00 PM,14-Aug-2025 05:00 PM,18-Dec-2025 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A4/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A4/2025-26,N.A. ,NA ,"2,16,30,000",Civil Works - Roads,NA ,Tender,90.0,180.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","2,16,300",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,06-Mar-2026 08:20 PM,finsummary_548779.pdf (874.23 KB),Technical,bidders name,Rinku Nahak,12-Dec-2025 08:39 PM,technical_548779.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,12-Dec-2025 08:46 PM,18-Dec-2025 11:00 AM,techsummary_548779.pdf (1636.63 KB),Finance,CS,Rinku Nahak,06-Mar-2026 08:16 PM,finance_548779.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_11,CCERWCSBD Online - 07/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A4/2025-26,1.0,3033867.0,Dilip Somani,INR,"18,388,045.7",1,3035491,ASISHA KUMAR SAMAL,14-Aug-2025 09:42 AM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,06-Mar-2026,"INR 18,388,045.7",180.0,Rinku Nahak,06-Mar-2026 08:24 PM,AOCMKG2A4.pdf (1058.00 KB),"Award of contract to Sri Dilip Somani, B Class Contractor through transparency lottery system.",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3033867,Dilip Somani,14-Aug-2025 12:54 PM,Accepted-AOC,"Award of contract to Sri Dilip Somani, B Class Contractor through transparency lottery system.",06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3034198,DURMAN MUDULI (S.T),13-Aug-2025 10:25 PM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3035985,GIRADA SHYAM SUNDAR RAO,14-Aug-2025 02:22 PM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3035376,GOBINDA CHANDRA NAYAK,13-Aug-2025 11:16 PM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035769,GOUTTAM MONDAL,14-Aug-2025 01:26 PM,Rejected-Technical,DISQUALIFIED,12-Dec-2025 08:46 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3032481,JANBI CONSTRUCTION,12-Aug-2025 03:38 PM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3033058,Kunja Bihari Sahu,13-Aug-2025 09:48 PM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3035438,MALAY SARKAR,14-Aug-2025 08:23 AM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035359,MRINAL KANTA SARKAR,14-Aug-2025 12:39 AM,Rejected-AOC,REJECT,06-Mar-2026 08:24 PM,,,,,,,,AOC
