S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3135008.0,RANJAN KUMAR PATRO,INR,"17,060,063",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,2025_EICCL_119378_6,CCE R and B RGDA- 05/2025-26,"Construction and Renovation of Circuit House Rayagada. (Civil, EI and PH)",Technical,Technical Bid Opened,Ambikeya Mishra,04-Nov-2025 06:45 PM,technical_555566.pdf,CCE Rayagada,Internal,DAO PA to CCE Estimator,Ambikeya Mishra,30-Mar-2026 05:53 PM,finsummary_555566.pdf (379.42 KB),CCE,Internal,SE DAO PA to CCE Estimator,Ambikeya Mishra,16-Dec-2025 06:11 PM,20-Dec-2025 11:00 AM,techsummary_555566.pdf (1026.54 KB),Finance,Financial Bid Opened,Pratima Sabar,24-Dec-2025 07:00 PM,finance_555566.pdf,BOQ Comparative Chart,30-Mar-2026,"INR 17,060,063",270.0,Ambikeya Mishra,30-Mar-2026 05:58 PM,Wo_CircuitH.pdf (569.00 KB),WO issued to Sri R K Patro vide letter no. 1409 Dt. 07.03.2026 of SE Rgda No-I,1,3156150,ANIESH MALLICK,27-Oct-2025 04:08 PM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet,16-Dec-2025 06:11 PM,AOC,13-Oct-2025 11:00 AM,28-Oct-2025 11:00 AM,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,13-Oct-2025 11:00 AM ,22-Oct-2025 05:00 PM ,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,20-Dec-2025 11:00 AM,Chief Construction Engineer,CCE R and B Circle Rayagada PIN 765001,"10,000",0.0,Nil,Nil,No,"Construction and Renovation of Circuit House Rayagada. (Civil, EI and PH)",Building works,Please refer Tender documents. ,NA ,"2,00,68,301",Civil Works - Buildings,NA ,Tender,90.0,270.0,Rayagada,765001.0,NA ,NA ,NA ,CCE R and B Circle Rayagada,No ,No,"2,00,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper,EMD,PAN,GSTIN,GSTRC,Labour license,Affidavit,Regd Certificate",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,CCE R and B RGDA- 05/2025-26,2025_EICCL_119378_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3156353,BURADA DINESH,27-Oct-2025 11:41 AM,Rejected-AOC,First lowest,30-Mar-2026 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience and other documents as per DTCN.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3159313,CHANDRA SEKHAR SAHUKAR,27-Oct-2025 02:20 PM,Rejected-AOC,First lowest,30-Mar-2026 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3155371,KARAKARIA GAJENDRA,26-Oct-2025 06:20 PM,Rejected-AOC,First lowest,30-Mar-2026 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3146445,M NAGESWAR RAO,27-Oct-2025 10:58 AM,Rejected-AOC,First lowest,30-Mar-2026 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3153817,M/S RAMESH KUMAR AGRAWAL,26-Oct-2025 12:12 PM,Rejected-AOC,First lowest,30-Mar-2026 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3155560,Prasant Kumar Tripathy,26-Oct-2025 09:42 PM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet,16-Dec-2025 06:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3153504,PRUTHIRAJ LENKA,27-Oct-2025 11:56 AM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet,16-Dec-2025 06:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3156649,RAHUL JENA,27-Oct-2025 12:31 AM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet,16-Dec-2025 06:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3135008,RANJAN KUMAR PATRO,18-Oct-2025 05:33 PM,Accepted-AOC,First lowest selected through transparent lottery system,30-Mar-2026 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
