Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
26-Mar-2026,"INR 1,500,000",60.0,Gobinda Dansena,26-Mar-2026 05:10 PM,22.pdf (128.00 KB),1.0,3427866.0,REKHA DAS,INR,"1,500,000",Municipal Bodies||Rajgangpur Municipality,2026_ORULB_126671_22,EO/RGP/07 of 2025-26,Improvement Of Road Infront of HML at Ranibandh at Ward no. 14.,1,3427324,CLEMENT KERKETTA,11-Mar-2026 03:58 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,Finance,ok,Gobinda Dansena,26-Mar-2026 03:51 PM,,BOQ Comparative Chart,Madhuri Lugun,Internal,,Gobinda Dansena,26-Mar-2026 04:58 PM,finsummary_583331.pdf (989.36 KB),Madhuri Lugun,Internal,,Gobinda Dansena,26-Mar-2026 04:12 PM,techsummary_583331.pdf (989.36 KB),AOC,1.0,ICICI BANK,Improvement Of Road Infront of HML at Ranibandh at Ward no. 14.,Improvement Of Road Infront of HML at Ranibandh at Ward no. 14.,Please refer Tender documents ,NA ,"15,00,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rajgangpur Municipality,770017.0,NA ,NA ,NA ,Rajgangpur Municipality,No ,No,"15,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Executive Officer,"Rajgangpur Municipality, Dist- Sundargarh.",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GST, PAN, Reg.-Renewal of Contractor license, Exp. and other document as per NIT.",Municipal Bodies||Rajgangpur Municipality,EO/RGP/07 of 2025-26,2026_ORULB_126671_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Feb-2026 11:00 AM,13-Mar-2026 11:00 AM,27-Feb-2026 11:00 AM,12-Mar-2026 04:00 PM,NA ,NA ,27-Feb-2026 11:00 AM,12-Mar-2026 04:00 PM,AOC
,,,,,,,,,,,,,,,2,3424174,DAUD MINZ,09-Mar-2026 01:19 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3428386,EVA PRATIMA XALXO,12-Mar-2026 12:43 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3426853,IFTEKHAR AHMED,11-Mar-2026 01:33 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3427706,KHALSA CONSTRUCTION,11-Mar-2026 06:48 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3427758,K TRINATH RAO,11-Mar-2026 07:31 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3428632,LAXMIKANTA MALLICK,12-Mar-2026 02:14 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3427680,MANOJ TANTY,11-Mar-2026 07:14 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3428312,MD KALAM NIRBAN,12-Mar-2026 12:13 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3424160,PRAMOD BARUA,09-Mar-2026 01:15 PM,Rejected-AOC,Rejected,26-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
