Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
08-Dec-2025 10:00 AM,20-Dec-2025 12:00 PM,08-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,08-Dec-2025 10:00 AM ,16-Dec-2025 05:30 PM ,08-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,Chief Engineer Mech - WR Bhubaneswar,CEM/MDC-27/2025-26,2025_CEMWR_122562_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"23,368",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,CHIEF ENGINEER MECHANICAL,O/o the EIC WR ODISHA BHUBANESWAR,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Repair modification of shutter gates for check dam at RD 36705Mtr of ashrukhala DC near village Samantarapur in tirtol block under Drainage Division Kendrapara for the year 2025 26,Repair modification of shutter gates for check dam at RD 36705Mtr of ashrukhala DC near village Samantarapur in tirtol block under Drainage Division Kendrapara for the year 2025 26,As per BID DOCUMENTS ,NA ,"23,36,795",Mechanical Works,NA ,Tender,90.0,60.0,ashrukhala DC near village Samantarapur in tirtol,754162.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,AOC,23-Mar-2026,"INR 1,986,509",60.0,JITENDRA KUMAR ORAM,30-Mar-2026 11:57 AM,cem27.pdf (747.00 KB),1,3309662,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",17-Dec-2025 11:54 AM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,15-Jan-2026 06:53 PM,techsummary_569325.pdf (447.75 KB),CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,24-Feb-2026 11:07 AM,finsummary_569325.pdf (447.75 KB),Chief Engineer Mech - WR Bhubaneswar,2025_CEMWR_122562_1,CEM/MDC-27/2025-26,Repair modification of shutter gates for check dam at RD 36705Mtr of ashrukhala DC near village Samantarapur in tirtol block under Drainage Division Kendrapara for the year 2025 26,1.0,3294526.0,SPS INDUSTRY,INR,"1,986,509",Finance,All docs downloaded successfully.,SASANKA SEKHAR MOHANTY,20-Dec-2025 01:15 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3310564,BANASHREE BHUYAN,19-Dec-2025 08:46 AM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3310513,LAXMIDHRA BHUYAN,19-Dec-2025 08:13 AM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3302384,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,19-Dec-2025 11:29 AM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3302360,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,19-Dec-2025 11:25 AM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3316771,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,19-Dec-2025 01:16 PM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3315179,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,18-Dec-2025 07:26 PM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3315218,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",18-Dec-2025 07:19 PM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3287993,M/S. SANJEEB ENTERPRISERS,19-Dec-2025 03:46 PM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3313442,POOJARINI ENTERPRISERS,19-Dec-2025 03:22 PM,Rejected-AOC,Not winner of lottery,30-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
