Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
14-Mar-2026,"INR 928,428",30.0,Raj Kumar Meher,14-Mar-2026 11:53 AM,AOC.pdf (2044.00 KB),AOC,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,2025_CERWI_122146_20,RWNPD-03/2025-26,Periodical maintenance of Sialati - Kotenchuan ch.0/000 to 1/500 for the year 2025-26,1.0,3285939.0,SUCHARITA PANDA,INR,"928,428",1,3287228,ALIA KHAN,08-Dec-2025 12:37 AM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,Finance,Tender open,Raj Kumar Meher,14-Mar-2026 11:38 AM,,BOQ Comparative Chart,Financial,Internal,EE DAO ESTIMATER,Raj Kumar Meher,14-Mar-2026 11:49 AM,finsummary_568081.pdf (2424.80 KB),Technical,Internal,EE DAO ESTIMATER,Raj Kumar Meher,14-Mar-2026 11:41 AM,techsummary_568081.pdf (2424.79 KB),AOC,29-Nov-2025 02:00 PM,09-Dec-2025 11:00 AM,29-Nov-2025 02:00 PM,08-Dec-2025 05:00 PM,29-Nov-2025 02:00 PM ,07-Dec-2025 05:00 PM ,29-Nov-2025 02:00 PM,08-Dec-2025 05:00 PM,Executive Engineer,"O/o the S.E.R.W.Division,Nuapada","6,000",0.0,Nil,Nil,No,Periodical maintenance of Sialati - Kotenchuan ch.0/000 to 1/500 for the year 2025-26,Periodical maintenance of Sialati - Kotenchuan ch.0/000 to 1/500 for the year 2025-26,As per DTCN ,NA ,"10,92,139",Civil Works - Roads,NA ,Tender,90.0,30.0,NUAPADA,766105.0,NA ,NA ,NA ,"O/o the S.E.R.W.Division,Nuapada",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,RWNPD-03/2025-26,2025_CERWI_122146_20,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"11,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,NRC,AFFIDAVIT,EMD AND OTHER DOCUMENTS AS PER DTCN",AOC
,,,,,,,,,,,,,,,,2,3283318,ANITH KUMAR THANAPATI,07-Dec-2025 06:31 AM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quanity,AOC
,,,,,,,,,,,,,,,,3,3283477,DHIBAR DHARUA,07-Dec-2025 12:04 AM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3287303,KANTI SAHU,08-Dec-2025 10:06 AM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3289558,MANAS RANJAN BIBHAR,08-Dec-2025 03:36 PM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3285591,NANDLAL GUPTA,07-Dec-2025 12:49 PM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3283284,NEELAM GUPTA,08-Dec-2025 08:56 AM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3289792,PRATAP KISHOR NAIK,08-Dec-2025 04:47 PM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3276712,PRITAM KUMAR SAHU,05-Dec-2025 05:24 PM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3287351,RADHESHYAM RANA,08-Dec-2025 12:29 AM,Rejected-AOC,Reject,14-Mar-2026 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
