S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA,NCB30RWCRGDA202526,2026_CERWI_124407_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,59,668",Yes,percentage,1.0%,Nil,Nil,Periodical Renewal work of 5 year Post DLP PMGSY Road A PS Road to Badachekna B PS Road to Badopukel in the district of Rayagada,Periodical Renewal work of 5 year Post DLP PMGSY Road A PS Road to Badachekna B PS Road to Badopukel in the district of Rayagada,NA ,NA ,"1,59,66,819",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,Chief Construction Engineer,"Rural Works Circle, Rayagada Raniguda Farm Near Hathipathar","10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,09-Jan-2026 06:00 PM,22-Jan-2026 11:00 AM,09-Jan-2026 06:00 PM,21-Jan-2026 05:00 PM,09-Jan-2026 06:00 PM ,20-Jan-2026 05:00 PM ,09-Jan-2026 06:00 PM,21-Jan-2026 05:00 PM,06-Feb-2026 11:00 AM,AOC,1,3362368,DIPTIMAYEE SAHU,21-Jan-2026 02:38 PM,Rejected-Technical,DISQUALIFIED due to inadequate of Tools Plants and Machineries as per SCHUDLE C as per Cl 09 of DTCN and an undertaking for Hot Mix Plant establishment within 60 Km radius vide Note 07 of ANNEXURE 1 OF SCHUDLE C of DTCN,02-Feb-2026 06:31 PM,16-Mar-2026,"INR 13,573,393.173",30.0,Binod Behari Das,16-Mar-2026 05:04 PM,PMRGD04.pdf (641.00 KB),Work Awarded to SAMIR KUMAR MEHER,"Chief Construction Engineer,RW Circle Rayagada",Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,02-Feb-2026 06:31 PM,06-Feb-2026 11:00 AM,techsummary_575114.pdf (1211.31 KB),Finance,Verified,Santoshi Mahapatra,07-Feb-2026 05:19 PM,finance_575114.pdf,BOQ Comparative Chart,Technical,Verified,Santoshi Mahapatra,22-Jan-2026 12:57 PM,technical_575114.pdf,CE RW I||RWCIRCLE-RAYAGADA,2026_CERWI_124407_1,NCB30RWCRGDA202526,Periodical Renewal work of 5 year Post DLP PMGSY Road A PS Road to Badachekna B PS Road to Badopukel in the district of Rayagada,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,16-Mar-2026 04:53 PM,finsummary_575114.pdf (488.37 KB),1.0,3360668.0,SAMIR KUMAR MEHER,INR,"13,573,393.173",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,2,3362996,GAJULA PADMANABH,21-Jan-2026 03:14 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3363048,JAY PRAKASH SHARMA,21-Jan-2026 04:23 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3362727,KAMALA AGRAWAL,21-Jan-2026 01:20 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3360813,Kunja Bihari Sahu,20-Jan-2026 09:10 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3362999,Manoj Kumar Anduru,21-Jan-2026 04:04 PM,Rejected-Technical,DISQUALIFIED due to inadequate Financial Turn over vide Clause No 12 ii of DTCN,02-Feb-2026 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3358788,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,19-Jan-2026 06:45 PM,Rejected-Technical,Disqualified due to not furnishing EMD in accordance to Works Department Notification No 6785 dtd 09 05 2017 vide ClNo2 1 of DTCN,02-Feb-2026 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3363155,M/S RAMESH KUMAR AGRAWAL,21-Jan-2026 04:16 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3363051,M/s SHREE INFRA AND CO,21-Jan-2026 03:38 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3362374,RABINDRA MOHARANA,21-Jan-2026 04:33 PM,Rejected-AOC,Work Awarded to SAMIR KUMAR MEHER,16-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
