Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
WATCO Bhubaneswar,WATCO (W)-25(08)/2025-26 Dtd.18.11.2025,2025_WATCO_121739_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,25-Nov-2025 05:00 PM,11-Dec-2025 12:30 PM,25-Nov-2025 05:00 PM,09-Dec-2025 05:00 PM,25-Nov-2025 05:00 PM ,01-Dec-2025 05:00 PM ,25-Nov-2025 05:00 PM,09-Dec-2025 05:00 PM,23-Feb-2026 11:30 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",Laying of Water Supply Pipe lines to newly developed areas/Replacement of old pipes in Zone-2 of Puri Municipality,Laying of Water Supply Pipe lines to newly developed areas/Replacement of old pipes in Zone-2 of Puri Municipality,Please refer Tender documents. ,NA ,"2,89,94,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,Puri,752001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"11,800",Nil,Nil,No,"2,90,000",Yes,fixed,,Nil,Nil,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444",AOC,WATCO Bhubaneswar,2025_WATCO_121739_1,WATCO (W)-25(08)/2025-26 Dtd.18.11.2025,Laying of Water Supply Pipe lines to newly developed areas/Replacement of old pipes in Zone-2 of Puri Municipality,Technical,Thirteen no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,11-Dec-2025 01:30 PM,,Managing Director,Internal,,JAYALAXMI BISWAL,17-Mar-2026 01:45 PM,finsummary_566313.pdf (593.72 KB),1.0,3289489.0,KSHIROD CHANDRA PRADHAN,INR,"24,647,484",17-Mar-2026,"INR 24,647,484",365.0,JAYALAXMI BISWAL,17-Mar-2026 01:49 PM,AOC.pdf (405.00 KB),1,3286699,AKSHAYA KUMAR SWAIN,08-Dec-2025 10:30 AM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,Managing Director,Internal,,JAYALAXMI BISWAL,21-Feb-2026 01:10 PM,23-Feb-2026 11:30 AM,techsummary_566313.pdf (4875.77 KB),Finance,Eleven no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,23-Feb-2026 01:09 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3291511,ASHISH MOHANTY,09-Dec-2025 02:55 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3290231,BIKRAM KESHARI PATTANAIK,09-Dec-2025 12:06 PM,Rejected-Technical,Technically disqualified,21-Feb-2026 01:10 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3291497,CHINTAMANI KUNDA,09-Dec-2025 03:17 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3288606,jagadish patra,09-Dec-2025 12:34 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3291654,KAMAL KANTA SUNDARAY,09-Dec-2025 02:55 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3289489,KSHIROD CHANDRA PRADHAN,09-Dec-2025 03:17 PM,Accepted-AOC,Lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3290296,PATITAPABAN PATI,09-Dec-2025 03:36 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3291898,RAMAKANTA PANDA,09-Dec-2025 04:23 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3277918,SANGRAM SWAIN,04-Dec-2025 12:29 PM,Rejected-AOC,Not a lowest bidder,17-Mar-2026 01:49 PM,,,,,,,,,,,,,,AOC
