Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
26-Mar-2026,"INR 423,729.81",60.0,RUSI MAJHI,26-Mar-2026 12:12 PM,24WorkOrder.pdf (382.00 KB),As Per Work Order,1,3381412,BENU NAIK,05-Feb-2026 03:15 PM,Accepted-AOC,Lottery Winner,26-Mar-2026 12:12 PM,Municipal Bodies||Sonepur Municipal Council,2026_ORULB_124735_24,SNP-MUN-34/2025-26,Completion of Ramdhun Community center development of Bhagabat Tungi at Majhipada W.No-8,1.0,3381412.0,BENU NAIK,INR,"423,729.81",Finance,As Per Tender Commiitee,RUSI MAJHI,23-Mar-2026 03:41 PM,finance_576530.pdf,BOQ Comparative Chart,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,26-Mar-2026 06:04 AM,finsummary_576530.pdf (635.87 KB),Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,25-Mar-2026 12:16 PM,techsummary_576530.pdf (1082.06 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,"4,237",Yes,fixed,,Nil,Nil,20-Jan-2026 11:00 AM,06-Feb-2026 11:00 AM,20-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,20-Jan-2026 11:00 AM ,05-Feb-2026 05:00 PM ,20-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,Executive Officer,Sonepur Municipality,Completion of Ramdhun Community center development of Bhagabat Tungi at Majhipada W.No-8,Completion of Ramdhun Community center development of Bhagabat Tungi at Majhipada W.No-8,Please refer Tender documents. ,NA ,"4,23,730",Civil Works - Others,NA ,Tender,90.0,60.0,Sonepur Municipality,767017.0,NA ,NA ,NA ,Sonepur Municipality,No ,No,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Sonepur Municipal Council,SNP-MUN-34/2025-26,2026_ORULB_124735_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,CorrigendumNotice168,Date,,AOC
,,,,,,,2,3382584,Satyanarayan Tripathy,05-Feb-2026 03:51 PM,Rejected-Finance,Lottery Looser,26-Mar-2026 06:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,As Per BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
