Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-03/2024-25,2025_ORULB_110156_49,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,07-Feb-2025 05:00 PM,25-Feb-2025 11:00 AM,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,Construction and development of Harihar Temple in Ward No- 19,Construction and development of Harihar Temple in Ward No- 19,Please refer Tender documents. ,NA ,"4,91,157",Civil Works - Others,NA ,Tender,60.0,90.0,Construction and development of Harihar Temple in,754103.0,NA ,NA ,NA ,Jagatsinghpur Municipality,No ,No,"2,360",0.0,Nil,Nil,No,"Executive Officer, Jagatsinghpur Municipality","Jagatsinghpur Municipality, Jagatsinghpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,PAN,GST, Registration, NRC, Declaration,Affidavit,Other as Per DTCN","4,900",Yes,fixed,,Nil,Nil,AOC,CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,17-Mar-2026 10:43 AM,finsummary_528991.pdf (5344.76 KB),Chairperson,Internal,,Manas Ranjan Pal,25-Mar-2025 11:46 AM,techsummary_528991.pdf (1753.49 KB),Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_110156_49,EO/ JSPURM/W-03/2024-25,Construction and development of Harihar Temple in Ward No- 19,1.0,2828480.0,HIMANSU SEKHAR PAITAL,INR,"417,533",1,2828850,GURU CHARAN BARIK,21-Feb-2025 02:03 PM,Rejected-AOC,REJECTED,17-Mar-2026 10:46 AM,17-Mar-2026,"INR 417,533",90.0,Manas Ranjan Pal,17-Mar-2026 10:46 AM,E82527AOC.pdf (1059.00 KB),Finance,Bids opened in online. 02 Nos of Bidder have been participated in Online. All Bid has been accepted.,Manas Ranjan Pal,25-Mar-2025 11:26 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2828480,HIMANSU SEKHAR PAITAL,20-Feb-2025 09:43 PM,Accepted-AOC,ACCEPTED,17-Mar-2026 10:46 AM,,,,,,,,,,,,,AOC
