Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Chief Engineer-II,Internal,,MANISHA SAMAL,18-Mar-2026 11:29 AM,finsummary_571039.pdf (123.28 KB),18-Mar-2026,"INR 97,611,993",180.0,MANISHA SAMAL,18-Mar-2026 11:33 AM,NTP.pdf (327.00 KB),1.0,3337286.0,BHUBANESWARI CONSTRUCTION,29-Dec-2025 03:22 PM,Accepted-AOC,L1 bidder,18-Mar-2026 11:33 AM,Technical,Total 2 nos of technical bid received and opened,Binodini Behera,30-Dec-2025 12:39 PM,,Finance,Total two nos of financial bid received and opened,Binodini Behera,02-Jan-2026 05:42 PM,,BOQ Comparative Chart,1.0,3337286.0,BHUBANESWARI CONSTRUCTION,INR,"97,611,993",Orissa Bridge and Construction Corporation Ltd,2025_OBCC_122954_1,34/Tender/OBCC/2025-26,"Construction of Road from Sanitorium square to Ratha road and Bus and car parking Under EKAMRA Conservation Plan in Bhubaneswar, Odisha",Chief General Manager- II,Internal,,Binodini Behera,02-Jan-2026 04:20 PM,02-Jan-2026 05:30 PM,techsummary_571039.pdf (424.83 KB),AOC,"11,800",0.0,Nil,Nil,No,Orissa Bridge and Construction Corporation Ltd,34/Tender/OBCC/2025-26,2025_OBCC_122954_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum-1,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,"RC, PAN, GST and other documents as per DTCN","Construction of Road from Sanitorium square to Ratha road and Bus and car parking Under EKAMRA Conservation Plan in Bhubaneswar, Odisha","Construction of Road from Sanitorium square to Ratha road and Bus and car parking Under EKAMRA Conservation Plan in Bhubaneswar, Odisha",Please refer Tender documents. ,NA ,"9,88,97,663",Civil Works - Roads,NA ,Tender,90.0,NA ,Bhubaneswar,751002.0,NA ,NA ,NA ,"Vikash Bhawan, Nayapalli, Bhubaneswar",No ,No,1.0,ICICI BANK,11-Dec-2025 09:00 AM,30-Dec-2025 11:30 AM,11-Dec-2025 09:00 AM,29-Dec-2025 04:00 PM,NA ,NA ,11-Dec-2025 09:00 AM,29-Dec-2025 04:00 PM,02-Jan-2026 05:30 PM,Chief Engineer-II,"Vikash Bhawan, Nayapalli, Bhubaneswar","19,77,953",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,2.0,3328932.0,Pramod Kumar Acharaya,29-Dec-2025 09:54 AM,Rejected-Finance,L2 bidder,18-Mar-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other documents as per DTCN-2,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other documents as per DTCN-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
