Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"Construction of Community Centre near School, Sanjob, W.No.13.",Community Centre,Please refer Tender documents ,NA ,"15,00,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Brajrajnagar Municipality,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,Municipal Bodies||Brajrajnagar Municipality,BRJNRM -04/2025-26,2026_ORULB_124354_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,"15,000",Yes,fixed,,Nil,Nil,09-Jan-2026 06:00 PM,21-Jan-2026 11:00 AM,09-Jan-2026 06:00 PM,20-Jan-2026 05:00 PM,NA ,NA ,09-Jan-2026 06:00 PM,20-Jan-2026 05:00 PM,10-Feb-2026 11:00 AM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor License,PAN, GST, and other relevant documents of this DTCN",1.0,ICICI BANK,AOC,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,09-Feb-2026 05:43 PM,10-Feb-2026 11:00 AM,techsummary_575075.pdf (249.45 KB),Finance,ok,Chandramani Swain,10-Feb-2026 04:20 PM,finance_575075.pdf,BOQ Comparative Chart,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,16-Mar-2026 05:23 PM,finsummary_575075.pdf (220.85 KB),Technical,ok,Chandramani Swain,09-Feb-2026 03:08 PM,technical_575075.pdf,Municipal Bodies||Brajrajnagar Municipality,2026_ORULB_124354_20,BRJNRM -04/2025-26,"Construction of Community Centre near School, Sanjob, W.No.13.",1.0,3360951.0,JAI BIR HANUMAN ENTERPRISES,INR,"1,269,854.94",1.0,3360951.0,JAI BIR HANUMAN ENTERPRISES,20-Jan-2026 12:22 PM,Accepted-AOC,Accepted,16-Mar-2026 05:26 PM,16-Mar-2026,"INR 1,269,854.94",120.0,Chandramani Swain,16-Mar-2026 05:25 PM,20.pdf (221.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits and T.P., E.M.D. copy",2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3360836.0,SOUBHAGYA SATPATHY,20-Jan-2026 12:34 PM,Rejected-AOC,Rejected,16-Mar-2026 05:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
