EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,96,191",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor RC and Affidavit, NRC / Relationship Certificate, Other Doc","Addl. Chief Engineer, Drainage Circle,BBSR","O/o the Addl. Chief Engineer, Drainage Circle,BBSR",Improvement of Balli nalla with structure of Mandakini drainage system under Begunia Constituency,"Earthwork, Cement Concrete and RR Stone Works.",Please refer Tender documents. ,NA ,"1,96,19,092",Civil Works - Others,NA ,Tender,90.0,330.0,"Begunia, Khordha",752062.0,NA ,NA ,NA ,"O/o the Addl. Chief Engineer, Drainage Circle,BBSR",No ,No,29-Oct-2025 11:00 AM,13-Nov-2025 11:00 AM,29-Oct-2025 11:00 AM,12-Nov-2025 06:00 PM,29-Oct-2025 11:00 AM ,07-Nov-2025 05:00 PM ,29-Oct-2025 11:00 AM,12-Nov-2025 06:00 PM,02-Dec-2025 11:30 AM,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",ACEDC-BBSR/DD-KHR-05/2025-26,2025_CEDC_120195_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,After Financial Evaluation 91 No. of bidders have been found eligible to participate in the Lottery process being L1.,Nilima Priyadarsini Panda,15-Dec-2025 04:21 PM,finance_559043.pdf,BOQ Comparative Chart,Technical,1. The documents of 96 no. of bidders are successfully downloaded and evaluated. 2. The bids of 94 no. of Bidders are found responsive.,Nilima Priyadarsini Panda,01-Dec-2025 03:57 PM,technical_559043.pdf,1,3216145,ABHIJEET JENA,12-Nov-2025 04:44 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,"AdditionalChiefEngineer,Drainage Circle,Bhubaneswar",Internal,"Asst.Addl.ChiefEngineer,Asst.ExecutiveEngineer,Jr.Engineer,DC,BBSR",Nilima Priyadarsini Panda,15-Dec-2025 04:51 PM,finsummary_559043.pdf (6374.99 KB),12-Jan-2026,"INR 16,678,190",330.0,Nilima Priyadarsini Panda,12-Mar-2026 05:45 PM,AOCBalli.pdf (2273.00 KB),The agmt. has been drawn in favour of Sri Soumya Ranjan Nandi vide agmt. no. 54P1/2025-26.,"AdditionalChiefEngineer,Drainage Circle,Bhubaneswar",Internal,"SE,DD,Puri,EE,DD,Khordha,DAO,DD,Khordha,Asst.Addl.ChiefEngineer,Asst.ExecutiveEngineer,Jr.Engineer,DC,BBSR",Tarun Kumar Nayak,01-Dec-2025 05:05 PM,02-Dec-2025 11:30 AM,techsummary_559043.pdf (9411.66 KB),"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",2025_CEDC_120195_1,ACEDC-BBSR/DD-KHR-05/2025-26,Improvement of Balli nalla with structure of Mandakini drainage system under Begunia Constituency,1.0,3205286.0,Soumya Ranjan Nandi,INR,"16,678,190",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,3218101,ABHIJIT MOHANTY,12-Nov-2025 04:31 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,3210029,ABHIJIT PARIDA,10-Nov-2025 09:50 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,3211695,ACHARYA CONSTRUCTIONS,12-Nov-2025 09:37 AM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,3214121,AJAYA KUMAR GARANAYAK,11-Nov-2025 04:57 PM,Rejected-Finance,Rejected being L2.,15-Dec-2025 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3217056,Akash Kumar Nath,12-Nov-2025 01:31 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3203882,AMIN RASHID KHAN,09-Nov-2025 10:24 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3197454,AMITABH SWAIN,08-Nov-2025 07:41 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3179406,AMRIT BARAL,04-Nov-2025 05:48 AM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3217133,AMRIT PRADHAN,12-Nov-2025 01:39 PM,Rejected-AOC,Looser of transparent lottery,12-Mar-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
