Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
15-Oct-2025 01:00 PM,23-Oct-2025 05:30 PM,15-Oct-2025 01:00 PM,23-Oct-2025 05:00 PM,15-Oct-2025 01:00 PM ,22-Oct-2025 05:00 PM ,15-Oct-2025 01:00 PM,23-Oct-2025 05:00 PM,"25,210",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,S/R to Chandiagadi to Mahasahani road for the year 2025-26,S/R to Chandiagadi to Mahasahani road for the year 2025-26,Please refer Tender documents. ,NA ,"25,21,000",Civil Works - Roads,NA ,Tender,90.0,NA ,Kendrapda,754212.0,NA ,NA ,NA ,"S.E R.W Division-II, Kendrapara, near New Medical",No ,No,"S.E R.W Division-II, Kendrapara, near New Medical","S.E R.W Division-II, Kendrapara, near New Medical",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, License as per DTCN",CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,E PROCUREMENT NOTICE NO.RWD-II/KPD-7/25-26,2025_CERWI_119486_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,19-Dec-2025 02:07 PM,techsummary_556134.pdf (245.88 KB),"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,19-Dec-2025 02:49 PM,finsummary_556134.pdf (245.87 KB),Finance,qualified,Suraj Biswal,19-Dec-2025 01:36 PM,finance_556134.pdf,BOQ Comparative Chart,23-Mar-2026,"INR 2,142,985.237",30.0,Suraj Biswal,23-Mar-2026 02:16 PM,nit7winnerlist.pdf (1168.00 KB),1.0,3144603.0,Mr Manmohan Rout,INR,"2,142,985.237",CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,2025_CERWI_119486_35,E PROCUREMENT NOTICE NO.RWD-II/KPD-7/25-26,S/R to Chandiagadi to Mahasahani road for the year 2025-26,1,3143894,ABHAYA KUMAR DAS,22-Oct-2025 07:27 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3138055,ABINASH KUMAR MOHANTY,20-Oct-2025 03:48 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3145271,ANIL KUMAR DAS,23-Oct-2025 02:13 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3130174,ANIL KUMAR SETHI,23-Oct-2025 03:42 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3138578,ANIL KUMAR SWAIN,20-Oct-2025 04:50 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3135507,ASHUTOSH PARIDA,19-Oct-2025 03:51 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3143312,Asit kumar sahoo,22-Oct-2025 04:42 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3142269,BIBEKANANDA MISHRA,22-Oct-2025 12:24 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3132089,bijaya kumar senapati,22-Oct-2025 10:20 AM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3139810,BISWAJIT NAYAK,21-Oct-2025 01:49 PM,Rejected-Finance,Not Qualified,19-Dec-2025 02:49 PM,AOC
