Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,03-Jan-2026 11:10 AM,techsummary_572227.pdf (365.93 KB),16-Mar-2026,"INR 1,149,610",30.0,Soumya Ranjan Dwibedi,16-Mar-2026 11:42 AM,AoC.pdf (1616.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,1,3325559,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,24-Dec-2025 12:13 PM,Accepted-AOC,The bidder won the transparency lottery among the bidder so that the work has been awarded to him,16-Mar-2026 11:42 AM,Finance,Total 2 Nos bidder are participated in the online tender,Soumya Ranjan Dwibedi,26-Dec-2025 12:45 PM,,BOQ Comparative Chart,1.0,3325559.0,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,INR,"1,149,610",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_123452_1,TCN No 46 of 2025-26,"Supply, installation, testing and commissioning (With electrical inspection) of 250 KVA plinth mounted DSS to newly constructed collectorate building Puri",Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,16-Mar-2026 11:19 AM,finsummary_572227.pdf (572.78 KB),AOC,"Supply, installation, testing and commissioning (With electrical inspection) of 250 KVA plinth mounted DSS to newly constructed collectorate building Puri","Supply, installation, testing and commissioning (With electrical inspection) of 250 KVA plinth mounted DSS to newly constructed collectorate building Puri",Please refer Tender documents. ,NA ,"13,52,323",Electrical Works,NA ,Tender,90.0,30.0,Puri,752001.0,NA ,NA ,NA ,O/o the S E R and B Division Puri,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT, ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTCN",Er.Soumya Ranjan Dwibedi,O/o the S E R and B Division Puri,18-Dec-2025 02:00 PM,26-Dec-2025 11:00 AM,18-Dec-2025 02:00 PM,24-Dec-2025 05:00 PM,NA ,NA ,18-Dec-2025 02:00 PM,24-Dec-2025 05:00 PM,1,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 46 of 2025-26,2025_EICCL_123452_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"13,523",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,2,3321737,SAI ENGINEERING,24-Dec-2025 01:53 PM,Rejected-AOC,Rejected,16-Mar-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
