Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Hitesh Agarwal,Internal,,Hitesh Agarwal,01-Mar-2026 12:49 PM,techsummary_569145.pdf (334.65 KB),01-Mar-2026,"INR 730,897",30.0,Hitesh Agarwal,01-Mar-2026 12:53 PM,196.pdf (244.00 KB),1,3288526,PRADEEP CHAMAR,08-Dec-2025 01:31 PM,Rejected-Technical,Rejected,01-Mar-2026 12:49 PM,1.0,3286860.0,SAMIR KUMAR SAI DEO,INR,"730,897",Finance,02 Nos. of Successful Bidders,Hitesh Agarwal,08-Dec-2025 06:06 PM,finance_569145.pdf,BOQ Comparative Chart,Er. Hitesh Agarwal,Internal,,Hitesh Agarwal,01-Mar-2026 12:50 PM,finsummary_569145.pdf (334.65 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,2025_CERWI_122501_5,Online-SESNG-19 of 2025-26,PM to RD Road to Dhatuatungri,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,EMDPANGSTINCDMSRegistrationcodeworkexperiencesimilarnatureworkworkinhandmachineriesasperDTCN,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,03-Dec-2025 05:00 PM,08-Dec-2025 05:10 PM,03-Dec-2025 05:00 PM,08-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 05:00 PM,08-Dec-2025 05:00 PM,"Executive Engineer R.W. Division, Sundargarh","O/o of the Superintending Engineer R.W. Division, Sundargarh At/po-Sankara. Dist-Sundargarh. 770020","7,370",Yes,percentage,1.0%,Nil,Nil,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,Online-SESNG-19 of 2025-26,2025_CERWI_122501_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,PM to RD Road to Dhatuatungri,PM to RD Road to Dhatuatungri,Please refer Tender documents. ,NA ,"7,37,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Sundargarh,770020.0,NA ,NA ,NA ,O/o of the Superintending Engineer,No ,No,AOC
,,,,,,,,,,,,2,3286860,SAMIR KUMAR SAI DEO,07-Dec-2025 08:22 PM,Accepted-AOC,Accepted,01-Mar-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
