Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online-04/2025-26,2025_CERWI_114664_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,21-Jun-2025 11:00 AM,02-Jul-2025 11:00 AM,21-Jun-2025 11:00 AM,01-Jul-2025 05:00 PM,21-Jun-2025 11:00 AM ,30-Jun-2025 02:00 PM ,21-Jun-2025 11:00 AM,01-Jul-2025 05:00 PM,13-Oct-2025 11:00 AM,Construction of NH 26 to Lauri via ltabalsa Road under MMSY-TRIP for the year 2024-25 in the District of Koraput.,Construction of NH 26 to Lauri via ltabalsa Road under MMSY-TRIP for the year 2024-25 in the District of Koraput.,N.A. ,NA ,"11,89,51,000",Civil Works - Roads,NA ,Tender,90.0,540.0,SUNABEDA,763001.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,"11,90,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","10,000",0.0,Nil,Nil,No,AOC,Technical,admit,Rinku Nahak,06-Oct-2025 07:24 PM,technical_543772.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_114664_1,CCERWCSBD Online-04/2025-26,Construction of NH 26 to Lauri via ltabalsa Road under MMSY-TRIP for the year 2024-25 in the District of Koraput.,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda",Rinku Nahak,20-Nov-2025 10:32 PM,finsummary_543772.pdf (992.03 KB),1.0,2984828.0,V BHASKAR RAO,INR,"101,119,988.78",1,2981094,ALOK KUMAR BISOYI,29-Jun-2025 11:22 AM,Rejected-Technical,DISQUALIFIED,06-Oct-2025 07:32 PM,10-Mar-2026,"INR 101,119,988.78",540.0,Rinku Nahak,10-Mar-2026 12:50 PM,AOCLAURI.pdf (195.00 KB),"Award of contract to V.Bhaskar Rao, A Class Contractor through transparency lottery system","EIC-I, Rural Works",Internal,"CE, Roads, ACE Roads, AO office of EIC",Rinku Nahak,06-Oct-2025 07:32 PM,13-Oct-2025 11:00 AM,techsummary_543772.pdf (564.39 KB),Finance,cs,Rinku Nahak,20-Nov-2025 10:27 PM,finance_543772.pdf,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2984858,DEMANTI AGRAWAL,01-Jul-2025 10:50 AM,Rejected-Finance,REJECT,20-Nov-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2984427,MOHANLAL AGRAWAL,01-Jul-2025 12:58 PM,Rejected-Finance,REJECT,20-Nov-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2982679,M/S GUPTESWAR CONSTRUCTION,30-Jun-2025 08:12 PM,Rejected-Finance,REJECT,20-Nov-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2982382,MS SANDHYA CONSTRUCTION,01-Jul-2025 01:05 PM,Rejected-AOC,REJECT,10-Mar-2026 12:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2983393,PRADIPTA KUMAR ROUT,01-Jul-2025 02:01 PM,Rejected-Technical,DISQUALIFIED,06-Oct-2025 07:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2984009,P.RAMA RAO,01-Jul-2025 01:56 PM,Rejected-Finance,REJECT,20-Nov-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2984219,Rajesh Kumar Jain,01-Jul-2025 01:29 PM,Rejected-Finance,REJECT,20-Nov-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2983398,SURJIT NANDY,01-Jul-2025 02:29 PM,Rejected-Finance,REJECT,20-Nov-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2984828,V BHASKAR RAO,01-Jul-2025 03:33 PM,Accepted-AOC,"Award of contract to V.Bhaskar Rao, A Class Contractor through transparency lottery system",10-Mar-2026 12:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
