Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,Fourteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Subas Chandra Sahoo,27-Jan-2026 11:31 AM,finance_574077.pdf,BOQ Comparative Chart,28-Mar-2026,"INR 856,668",60.0,Subas Chandra Sahoo,28-Mar-2026 11:30 AM,2025_ORULB_123875_27.pdf (421.00 KB),Work Order,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_123875_27,MC(CMC)CTC_Div-I_No.18/2025-26,"Construction of road from Upper Police Colony to towards Medical Road and Tulasipur Police Station to towards Qtr No. S/42, S/38 in Ward No. 7.",1.0,3352755.0,MD AZHAR,INR,"856,668",1,3351408,Bhabagrahi Nayak,12-Jan-2026 01:10 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,28-Mar-2026 11:24 AM,techsummary_574077.pdf (421.00 KB),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,28-Mar-2026 11:28 AM,finsummary_574077.pdf (421.00 KB),AOC,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.18/2025-26,2025_ORULB_123875_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Jan-2026 01:00 PM,17-Jan-2026 11:00 AM,02-Jan-2026 01:00 PM,13-Jan-2026 05:00 PM,NA ,NA ,02-Jan-2026 01:00 PM,13-Jan-2026 05:00 PM,"Construction of road from Upper Police Colony to towards Medical Road and Tulasipur Police Station to towards Qtr No. S/42, S/38 in Ward No. 7.","Construction of road from Upper Police Colony to towards Medical Road and Tulasipur Police Station to towards Qtr No. S/42, S/38 in Ward No. 7.",Please refer Tender documents. ,NA ,"10,07,800",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,"10,100",Yes,fixed,,Nil,Nil,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online","7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3352861,chandra sekhar behera,13-Jan-2026 02:04 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3352173,Ganesh Chandra Swain,12-Jan-2026 07:27 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3352533,GOPABANDHU ROUTRAY,13-Jan-2026 11:35 AM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3351636,JAGANNATH SWAIN,12-Jan-2026 05:35 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3352755,MD AZHAR,13-Jan-2026 01:13 PM,Accepted-AOC,Accepted,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3352824,PRABODH KUMAR PRUSTY,13-Jan-2026 02:53 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3352199,PRADEEP KUMAR CHHATOI,13-Jan-2026 12:52 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3352691,PRAVAT KUMAR PRUSTY,13-Jan-2026 01:23 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3351130,SIBENDRA BEHERA,12-Jan-2026 11:12 PM,Rejected-AOC,Rejected,28-Mar-2026 11:30 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
