Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Improvement to Amlipali Check Dam Amlipali Village in Bhatli Block of Bargarh District under Improvement to Check Dam Scheme for the Year 2025-26,Improvement to Amlipali Check Dam Amlipali Village in Bhatli Block of Bargarh District under Improvement to Check Dam Scheme for the Year 2025-26,As per DTCN ,NA ,"6,17,313",Civil Works - Others,NA ,Tender,90.0,60.0,"Vil-Amlipali, Block-Bhatli",768030.0,NA ,NA ,NA ,"O/o The S.E. MI Division, Padampur",No ,No,"6,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, VAT, PAN, Contractor RC",1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"S.E., MI Division, Padampur","O/o The Superintending Engineer, MI Division, Padampur, At -Padampur, Dist-Bargarh, Pin-768036",22-Jan-2026 11:00 AM,04-Feb-2026 11:00 AM,22-Jan-2026 11:00 AM,03-Feb-2026 05:00 PM,NA ,NA ,22-Jan-2026 11:00 AM,03-Feb-2026 05:00 PM,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",SEMIPDP_06_2526,2026_CEMIB_124919_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Sri Arun Kumar Jyotrimaya,Internal,"Ashwani Mishra,DAO,Hemanta Kumar Marandi,AEE EstimatorI/C,Samir Kumar Behera,JE Estimator",HEMANTA MARANDI,10-Feb-2026 06:39 PM,techsummary_577323.pdf (250.84 KB),Sri Arun Kumar Jyotrimaya,Internal,"Sri Arun Kumar Jyotrimaya Superintending Engineer as chairperson, Sri Aswaini Mishra (D.A.O),Sri Hemanta Kumar Marandi (I/C, A.E.E. Estimator), Sri Samir Kumar Behera (J.E. Estimator)",HEMANTA MARANDI,20-Feb-2026 09:32 PM,finsummary_577323.pdf (215.80 KB),Finance,"Sri Arun Kumar Jyotrimaya Superintending Engineer as chairperson, Sri Aswaini Mishra (D.A.O),Sri Hemanta Kumar Marandi (I/C, A.E.E. Estimator), Sri Samir Kumar Behera (J.E. Estimator)",HEMANTA MARANDI,05-Feb-2026 04:27 PM,finance_577323.pdf,BOQ Comparative Chart,20-Feb-2026,"INR 577,188",60.0,ARUN KUMAR JYOTRIMAYA,09-Mar-2026 04:50 PM,78Amlipali.pdf (881.00 KB),The Work is awarded to Sri Ranjan Seth C Class Contractor vide Agtt. No.78P1/2025-26.The D.O.C and Completion as dt.20/02/2026and19/04/2026 for contract amount Rs.577188.00 With GST 18percent,1.0,3379529.0,RANJAN SETH,INR,"577,188","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",2026_CEMIB_124919_17,SEMIPDP_06_2526,Improvement to Amlipali Check Dam Amlipali Village in Bhatli Block of Bargarh District under Improvement to Check Dam Scheme for the Year 2025-26,1,3376911,KAPILENDRA DEV DANSANA,02-Feb-2026 01:11 PM,Rejected-Finance,Not Qualified,20-Feb-2026 09:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3379529,RANJAN SETH,03-Feb-2026 04:36 PM,Accepted-AOC,Accepted,09-Mar-2026 04:50 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3377763,SANTOSHINI DANSANA,02-Feb-2026 08:56 PM,Rejected-Finance,Not Qualified,20-Feb-2026 09:32 PM,AOC
