Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Canal lining and renovation of Pakhanguda Distributary from RD 00Km to 3.00Km including widening, extension of structures.","Canal lining and renovation of Pakhanguda Distributary from RD 00Km to 3.00Km including widening, extension of structures.",AS PER DTCN. ,NA ,"2,25,93,841",Civil Works - Others,NA ,Tender,90.0,180.0,Borigumma town in Koraput district.,764056.0,NA ,NA ,NA ,"HEAD OFFICE, OCCL",No ,No,"2,26,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,29-Aug-2025 03:30 PM,19-Sep-2025 12:00 PM,29-Aug-2025 03:30 PM,18-Sep-2025 05:30 PM,29-Aug-2025 03:30 PM ,05-Sep-2025 03:30 PM ,29-Aug-2025 03:30 PM,18-Sep-2025 05:30 PM,20-Nov-2026 01:36 PM,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,VALID CI ENLISTMENT CERTIFICATE OF OCC LTD etc.",ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.40/OCCL/2025-26(on-line),2025_OCCL_117463_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION LTD., UNIT - VIII, GOPABANDHUNAGAR, BBSR-751012","11,800",Nil,Nil,No,AOC,1.0,3085960.0,JANMEJAYA CHHOTARAY,INR,"19,207,024",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_117463_1,E-procurement Notice No.40/OCCL/2025-26(on-line),"Canal lining and renovation of Pakhanguda Distributary from RD 00Km to 3.00Km including widening, extension of structures.",MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,20-Nov-2025 01:42 PM,20-Nov-2025 04:30 PM,techsummary_550672.pdf (1615.04 KB),21-Feb-2026,"INR 19,207,024",180.0,Sarat Chandra Ghadei,19-Mar-2026 12:15 PM,AOC_PAKHANGUDA.pdf (1242.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Sarat Chandra Ghadei,09-Jan-2026 01:57 PM,finsummary_550672.pdf (2412.20 KB),Finance,Opened Successfully.,Pratap Chandra Chaudhury,20-Nov-2025 05:40 PM,,BOQ Comparative Chart,Technical,Opened Successfully.,Pratap Chandra Chaudhury,19-Sep-2025 01:36 PM,,1,3085555,ANUP BUILDERS,18-Sep-2025 09:36 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3083616,BHASKAR CHANDRA NAYAK,18-Sep-2025 01:58 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3074081,HARA PRASAD NAYAK,12-Sep-2025 04:02 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3085960,JANMEJAYA CHHOTARAY,18-Sep-2025 11:38 AM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,19-Mar-2026 12:16 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3085385,JMBG CONSTRUCTION,18-Sep-2025 11:29 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3079412,KAILASH PANDA,18-Sep-2025 12:38 AM,Rejected-Technical,Non-Responsive.,20-Nov-2025 01:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3080687,"M/S ARNAV CONSTRUCTION, PROP. DIBYA KISHOR PADHI",16-Sep-2025 06:07 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3086268,M/s Tara Tarini Constructions Pvt. Ltd.,18-Sep-2025 02:40 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3085135,Patitapaban Nath Sharma,17-Sep-2025 07:16 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3084411,PRAJNYA RANJAN NAYAK,16-Sep-2025 08:35 PM,Rejected-Technical,Non-Responsive.,20-Nov-2025 01:42 PM,AOC
