S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Improvement to Karanjara MIP in Khallikote Block under CAPEX (Lining) 2025-26,Improvement to Karanjara MIP in Khallikote Block under CAPEX (Lining) 2025-26,Please refer Tender documents ,NA ,"84,20,481",Civil Works - Others,NA ,Tender,90.0,90.0,Khallikote,761030.0,NA ,NA ,NA ,SE M I Division Ganjam-II Berhampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of valid licence GSTN PAN affidavit and other document as per DTCN,SUPERINTENDING ENGINEER,"O/o Superintending Engineer, M I Division Ganjam-II Berhampur","84,300",Yes,fixed,,Nil,Nil,08-Dec-2025 05:00 PM,18-Dec-2025 11:30 AM,08-Dec-2025 05:00 PM,17-Dec-2025 05:00 PM,08-Dec-2025 05:00 PM ,17-Dec-2025 05:00 PM ,08-Dec-2025 05:00 PM,17-Dec-2025 05:00 PM,20-Dec-2025 12:30 PM,"10,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",GMID-II/09/2025-26,2025_CEMIB_122816_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,3307090,AMARESWARA SATAPATHY,16-Dec-2025 12:55 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,05-Mar-2026,"INR 8,447,636",90.0,Simachala Satapathy,05-Mar-2026 02:07 PM,2.pdf (706.00 KB),SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,20-Dec-2025 12:13 PM,20-Dec-2025 12:30 PM,techsummary_570333.pdf (1159.56 KB),Finance,-,Simachala Satapathy,05-Mar-2026 12:17 PM,finance_570333.pdf,BOQ Comparative Chart,Technical,-,Simachala Satapathy,20-Dec-2025 12:09 PM,technical_570333.pdf,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_122816_2,GMID-II/09/2025-26,Improvement to Karanjara MIP in Khallikote Block under CAPEX (Lining) 2025-26,SE MIDIVN GANJAM II BERHAMPUR,Internal,,Simachala Satapathy,05-Mar-2026 12:35 PM,finsummary_570333.pdf (30.46 KB),1.0,3311581.0,Simanchala Panda,INR,"8,447,636",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Any other document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3311591,ANIL KUMAR SWAIN,17-Dec-2025 04:20 PM,Not Admitted-Finance,Others-affidavit not correct,05-Mar-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3301419,ANSUMAN PRADHAN,14-Dec-2025 04:43 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3306975,ANTARJYAMI PRADHAN,16-Dec-2025 12:43 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3310611,Arabinda Panda,17-Dec-2025 03:47 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3311557,BANAMALI MAHAR,17-Dec-2025 04:13 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3308018,BATA KRUSHNA PADHI,16-Dec-2025 02:59 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3308653,BATCHU KRISHNA PATRA,16-Dec-2025 04:28 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3311266,BHAGABAN MANDAL,17-Dec-2025 02:42 PM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3297010,BINAYEE KUMARI PATRA,12-Dec-2025 11:47 AM,Rejected-AOC,-,05-Mar-2026 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
