Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of R.C.C drain from Salt road towards Mantu Samal house ward no.23,Construction of R.C.C drain from Salt road towards Mantu Samal house ward no.23,Please refer Tender documents. ,NA ,"7,87,288",Civil Works - Roads,NA ,Tender,90.0,45.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,Municipal Bodies||Basudevpur Municipality,BSP_2025-26_12,2025_ORULB_122920_61,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"7,873",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,NIT Document,Other,,1.0,ICICI BANK,14-Dec-2025 10:00 AM,22-Dec-2025 11:00 AM,14-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,NA ,NA ,14-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,EO,Basudevpur Municipality,AOC,Nibedita Behera,Internal,"E.O, M.E,J.E, Acct.",SUDHANSU MOHAN,20-Mar-2026 02:56 PM,finsummary_571494.pdf (11394.88 KB),Nibedita Behera,Internal,"E.O,M.E,J.E,Accountant",SUDHANSU MOHAN,07-Mar-2026 05:55 PM,techsummary_571494.pdf (203.06 KB),Municipal Bodies||Basudevpur Municipality,2025_ORULB_122920_61,BSP_2025-26_12,Construction of R.C.C drain from Salt road towards Mantu Samal house ward no.23,1.0,3317876.0,Duryodhan Mohakud,INR,"789,743",1,3311896,Bijay Kumar Nayak,19-Dec-2025 12:42 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,20-Mar-2026,"INR 789,743",45.0,SUDHANSU MOHAN,20-Mar-2026 03:03 PM,61.pdf (647.00 KB),ok,Finance,ok,SUDHANSU MOHAN,22-Dec-2025 03:40 PM,finance_571494.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3318252,Bilas Barik,19-Dec-2025 08:34 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3317876,Duryodhan Mohakud,19-Dec-2025 05:23 PM,Accepted-AOC,selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3318149,Rakesh Ranjan Nayak,19-Dec-2025 07:19 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3317599,RANJAN KUMAR SETHI,19-Dec-2025 04:18 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3318260,RANJITA DASH,20-Dec-2025 10:49 AM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3317095,RASMITA BEHERA,19-Dec-2025 09:23 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3317862,Sarojini Rout,19-Dec-2025 06:02 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3318194,SYAMALINI MALLICK,19-Dec-2025 07:38 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3318209,Uttam Kumar Mohalik,19-Dec-2025 07:50 PM,Rejected-AOC,not selected,20-Mar-2026 03:03 PM,,,,,,,,,,,,,,AOC
