Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer,"O/O EE RWD, Bonai",1.0,ICICI BANK,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-06 of 2025-26,2026_CERWI_124855_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"47,000",Yes,fixed,,Nil,Nil,20-Jan-2026 06:00 PM,29-Jan-2026 11:00 AM,20-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,20-Jan-2026 06:00 PM ,27-Jan-2026 05:00 PM ,20-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,SR to L069-NH-23 to Gopinathpur road in the Dist of Sundargarh for the year 2025-26,SR to L069-NH-23 to Gopinathpur road in the Dist of Sundargarh for the year 2025-26,Please refer Tender documents ,NA ,"46,77,843",Civil Works - Roads,NA ,Tender,90.0,30.0,Bonai,770038.0,NA ,NA ,NA ,"O/O EE RWD, Bonai",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as per DTCN","6,000",0.0,Nil,Nil,No,AOC,16-Mar-2026,"INR 3,976,635",30.0,Jajati Keshari Gadanayak,18-Mar-2026 08:18 PM,1249.pdf (986.00 KB),Awarded,1,3370651,AKASH PRASAD,28-Jan-2026 04:44 PM,Rejected-Finance,By Lottery,11-Feb-2026 06:11 PM,Executive Engineer,Internal,"DAO , Executive Engineer",Jajati Keshari Gadanayak,03-Feb-2026 05:33 PM,techsummary_576897.pdf (963.73 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2026_CERWI_124855_3,ONLINE-EEBNI-06 of 2025-26,SR to L069-NH-23 to Gopinathpur road in the Dist of Sundargarh for the year 2025-26,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,11-Feb-2026 06:11 PM,finsummary_576897.pdf (435.47 KB),Finance,Admitted,Jajati Keshari Gadanayak,29-Jan-2026 02:39 PM,,BOQ Comparative Chart,1.0,3370434.0,KARAN PRASAD,INR,"3,976,635",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC,,,,,,,,2,3370038,Basanti Tarcila Lakra,28-Jan-2026 01:28 PM,Rejected-Technical,Tender was only for B class,03-Feb-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3369004,BHAVESH JAISWAL,28-Jan-2026 10:13 AM,Rejected-Technical,22.64 less,03-Feb-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3370325,DILLIP KUMAR SWAIN,28-Jan-2026 02:18 PM,Rejected-Finance,By Lottery,11-Feb-2026 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3369794,DM Constructions,28-Jan-2026 12:32 PM,Rejected-Technical,Tender was only for B class,03-Feb-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3370481,GURDIT DANG,28-Jan-2026 03:10 PM,Rejected-Finance,By Lottery,11-Feb-2026 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3370434,KARAN PRASAD,28-Jan-2026 03:17 PM,Accepted-AOC,Awarded,18-Mar-2026 08:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3370642,LAXMAN KUMAR BAGH,28-Jan-2026 04:04 PM,Rejected-Technical,16.50 less,03-Feb-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3369098,SIMANTA KUMAR SAHU,27-Jan-2026 07:24 PM,Rejected-Technical,13.33 less,03-Feb-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3369531,SUSHANTA KUMAR SUNA,28-Jan-2026 12:12 PM,Rejected-Technical,17.30 less,03-Feb-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
