S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3320100.0,Abhilash Padhan,INR,"354,281.39",Municipal Bodies||Barpali NAC,2025_ORULB_122658_34,EOBRP/05/2025-26,Repairing of and Covering of Road side drain from ward no 1 to 6 under NAC Barpali (Ph-I),1,3320100,Abhilash Padhan,21-Dec-2025 11:54 AM,Accepted-AOC,1st lowest,09-Mar-2026 08:35 PM,04-Mar-2026,"INR 354,281.39",60.0,Bhuban Kumar Satpathy,09-Mar-2026 08:34 PM,AOC35.pdf (949.00 KB),Work order issued,Finance,8 nos of bidder have participate,Bhuban Kumar Satpathy,31-Dec-2025 10:41 AM,,BOQ Comparative Chart,Chairperson,Internal,"E.O, M.E, Addl. Tahasildar, Sub-Treasury Officer",Bhuban Kumar Satpathy,27-Feb-2026 11:40 AM,finsummary_570136.pdf (358.96 KB),Chairperson,Internal,"Executive Officer, Municipal Engineer, Addl. Tahasildar, Sub-Treasury Officer",Bhuban Kumar Satpathy,09-Feb-2026 09:27 AM,techsummary_570136.pdf (358.96 KB),AOC,"4,168",Yes,fixed,,Nil,Nil,Repairing of and Covering of Road side drain from ward no 1 to 6 under NAC Barpali (Ph-I),Repairing of and Covering of Road side drain from ward no 1 to 6 under NAC Barpali (Ph-I),Please refer Tender documents. ,NA ,"4,16,767",Civil Works - Others,NA ,Tender,90.0,60.0,Barpali,768029.0,NA ,NA ,NA ,"OFFICE OF THE E.O, NAC BARPALI",No ,No,Municipal Bodies||Barpali NAC,EOBRP/05/2025-26,2025_ORULB_122658_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER, NAC BARPALI","OFFICE OF THE E.O, NAC BARPALI, DIST.-BARGARH",09-Dec-2025 11:00 AM,23-Dec-2025 11:00 AM,09-Dec-2025 11:00 AM,22-Dec-2025 05:00 PM,09-Dec-2025 11:00 AM ,22-Dec-2025 01:00 PM ,09-Dec-2025 11:00 AM,22-Dec-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, Pan, GSTN, Valid Contractor License, Affidavit and Other Documents as per DTCN",AOC
,,,,,,,,,2,3318334,BANDITA TRIPATHY,19-Dec-2025 08:40 PM,Rejected-Finance,Other than L1 and L2,27-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,3,3299578,JITEN SUNA,18-Dec-2025 02:51 PM,Rejected-Finance,Other than L1 and L2,27-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3320393,LALIT MEHER (SC),21-Dec-2025 01:06 PM,Rejected-Finance,Other than L1 and L2,27-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3322716,RASMITA SETH,22-Dec-2025 03:03 PM,Rejected-AOC,2nd lowest,09-Mar-2026 08:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3318391,REENA SAHU,19-Dec-2025 09:32 PM,Rejected-Finance,Other than L1 and L2,27-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3320712,SAGARIKA SETH,21-Dec-2025 06:10 PM,Rejected-Finance,Other than L1 and L2,27-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3317872,SHIBARATRI SETH (SC),19-Dec-2025 06:52 PM,Rejected-Finance,Other than L1 and L2,27-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
