Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
18-Mar-2026,"INR 1,153,039",60.0,Pravas Ranjan Rout,18-Mar-2026 12:25 PM,13.pdf (422.00 KB),CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,2025_CERWI_120388_13,Online Tender/12/RWDBNJ/2025-26,S/R to A. Laxmanpalli-Debabhumi road under Routine Maintenance for the year 2025-26,1.0,3204607.0,DUKHISHYAM SAHU,INR,"1,153,039",1,3202810,Ahalya Patro,09-Nov-2025 10:06 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,Finance,Lottery,Pravas Ranjan Rout,19-Nov-2025 12:22 PM,finance_560251.pdf,BOQ Comparative Chart,Tribhuban Kanhar,Internal,"DAO, Estimator",Pravas Ranjan Rout,18-Mar-2026 12:20 PM,finsummary_560251.pdf (421.52 KB),Tribhuban Kanhar,Internal,,Pravas Ranjan Rout,19-Nov-2025 12:25 PM,techsummary_560251.pdf (428.91 KB),AOC,"S.E, R.W Division, Bhanjanagar","O/O the S.E, R.W Division, Bhanjanagar",31-Oct-2025 06:55 PM,11-Nov-2025 11:00 AM,31-Oct-2025 06:55 PM,10-Nov-2025 03:00 PM,31-Oct-2025 06:55 PM ,07-Nov-2025 03:00 PM ,31-Oct-2025 06:55 PM,10-Nov-2025 03:00 PM,S/R to A. Laxmanpalli-Debabhumi road under Routine Maintenance for the year 2025-26,S/R to A. Laxmanpalli-Debabhumi road under Routine Maintenance for the year 2025-26,S/R to A. Laxmanpalli-Debabhumi road under Routine Maintenance for the year 2025-26 ,NA ,"13,56,357",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhanjanagar,761126.0,NA ,NA ,NA ,"O/O the S.E, R.W Division, Bhanjanagar",No ,No,1.0,ICICI BANK,"13,600",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,Online Tender/12/RWDBNJ/2025-26,2025_CERWI_120388_13,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, GST, PAN, Electrical JVA and all other Document as per DTCN",AOC
,,,,,,,,,,,,,,,2,3206654,Ashok Dash,10-Nov-2025 01:33 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,3,3198274,Dinabandhu Swain,08-Nov-2025 07:28 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3204607,DUKHISHYAM SAHU,10-Nov-2025 11:38 AM,Accepted-AOC,Lottery Winner,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3200571,MAHESWAR SAHU,09-Nov-2025 01:18 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3202240,NANDAN GOUDA,09-Nov-2025 04:37 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3192547,Nilu Mohanty,07-Nov-2025 05:55 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3192773,RANJAN KUMAR NAHAK,07-Nov-2025 06:43 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3194109,ROHITA KUMAR PATRA,07-Nov-2025 05:21 PM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3192704,SABITA KUMARI SABAT,07-Nov-2025 11:42 AM,Rejected-AOC,2nd,18-Mar-2026 12:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
