Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
10-Mar-2026,"INR 1,440,533",90.0,Raghunath Swain,10-Mar-2026 06:27 PM,32.PDF (139.00 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_120253_32,SEPRD-14/2025-26,Restoration to Daya Right Embankment and bathing ghat at RD 13.30 Km. near Mahadev Temple,1.0,3212058.0,SATRUGHNA MAJHI,INR,"1,440,533",1,3188287,AUROBINDO MOHANTY,06-Nov-2025 12:33 PM,Rejected-Technical,not selected through lottery,06-Dec-2025 01:20 PM,Finance,BSC,Kirti Kasturika,12-Nov-2025 12:34 PM,,BOQ Comparative Chart,"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,06-Dec-2025 01:21 PM,finsummary_559811.pdf (90.25 KB),"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,06-Dec-2025 01:20 PM,techsummary_559811.pdf (90.25 KB),AOC,Superintending Engineer prachi division,office of the superintending Engineer prachi divn BBSR,01-Nov-2025 10:00 AM,12-Nov-2025 10:30 AM,01-Nov-2025 10:00 AM,11-Nov-2025 05:30 PM,NA ,NA ,01-Nov-2025 10:00 AM,11-Nov-2025 05:30 PM,Restoration to Daya Right Embankment and bathing ghat at RD 13.30 Km. near Mahadev Temple,embankment work,Please refer Tender documents. ,NA ,"16,94,545",Civil Works - Others,NA ,Tender,90.0,NA ,Bhubaneswar,751003.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"6,000",0.0,Nil,Nil,No,"17,100",Yes,fixed,,Nil,Nil,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-14/2025-26,2025_CELBB_120253_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3213809,BIHARI PRADHAN,11-Nov-2025 04:02 PM,Rejected-Technical,not selected through lottery,06-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3192985,PRAKASH KUMAR SAMANTARAY,07-Nov-2025 12:28 PM,Rejected-Technical,not selected through lottery,06-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3212058,SATRUGHNA MAJHI,11-Nov-2025 12:30 PM,Accepted-AOC,selected through lottery,10-Mar-2026 06:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3214272,SUSHANT NAYAK,11-Nov-2025 05:23 PM,Rejected-Technical,not selected through lottery,06-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
