S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Phupugam to Tarakanadi Road,"Periodical Renewal Work of 5 year Post DLP PMGSY Road under State Budget Grant for the road Phupgam to Tarakanadi, vide Package No OR-22-128 for the year 2025-26",NA ,NA ,"73,94,556",Civil Works - Roads,NA ,Tender,90.0,60.0,Umerkote,764073.0,NA ,NA ,NA ,"O/o the EE RWD-II, Nabarangpur, Umerkote",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Valid RC, PAN, Valid GST, Caste, Affidavits, Experience, Machinery and Other Documents as per DTCN","73,946",Yes,fixed,,Nil,Nil,"Executive Engineer, RW Division-II, Umerkote","O/o the Executive Engineer, Rural Works Division-II, Nabarangpur, Umerkote","10,000",0.0,Nil,Nil,No,09-Jan-2026 05:00 PM,20-Jan-2026 11:00 AM,09-Jan-2026 05:00 PM,19-Jan-2026 05:00 PM,09-Jan-2026 05:00 PM ,17-Jan-2026 01:00 PM ,09-Jan-2026 05:00 PM,19-Jan-2026 05:00 PM,27-Jan-2026 02:30 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender 17 RWD-UKT 2025-26 (02),2026_CERWI_124390_1,No,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,06-Mar-2026,"INR 6,286,112",60.0,Gobinda Chandra Tudu,06-Mar-2026 07:38 PM,Agmt140.pdf (754.00 KB),Agmt value,1,3359315,BASUDEV SETHI,19-Jan-2026 01:25 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,Excutive Engineer,Internal,"Estimator, DAO-I, Executive Engineer",Rupabanya Naik,27-Jan-2026 01:38 PM,27-Jan-2026 02:30 PM,techsummary_575088.pdf (315.46 KB),Finance,11 bidders are participated for the above work.,Gobinda Chandra Tudu,06-Mar-2026 07:25 PM,finance_575088.pdf,BOQ Comparative Chart,Technical,All bidders are admitted for Technical Evaluation.,Rupabanya Naik,27-Jan-2026 11:44 AM,,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2026_CERWI_124390_1,Online Tender 17 RWD-UKT 2025-26 (02),Phupugam to Tarakanadi Road,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,06-Mar-2026 07:33 PM,finsummary_575088.pdf (157.98 KB),1.0,3358143.0,NITYANANDA BISWAS,INR,"6,286,112",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ of Phupugam to Tarakanadi Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3359442,JITENDRA BISOYI,19-Jan-2026 12:44 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3359732,J. Raja,19-Jan-2026 02:24 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3359846,NIHAR RANJAN JENA,19-Jan-2026 02:58 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3359023,NILAMADHAB NAIK,19-Jan-2026 03:42 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3358143,NITYANANDA BISWAS,19-Jan-2026 09:12 AM,Accepted-AOC,L1 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3360122,SAHIL KHAN,19-Jan-2026 04:33 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3359593,S.ANIL KUMAR,19-Jan-2026 01:21 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3359610,SANKAR NARAYAN MOHANTY,19-Jan-2026 03:17 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3358793,SANTOSH KUMAR MOHAPATRA,18-Jan-2026 05:54 PM,Rejected-AOC,L2 bidder,06-Mar-2026 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
