S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3023872.0,MENKAR ELCON,INR,"1,489,350",Ajaya Kumar Mishra,Internal,Purusottam Vishwakarma and Saroj Kumar Mohanty,AJAYA KUMAR MISHRA,08-Dec-2025 04:32 PM,finsummary_547755.pdf (42.44 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",2025_OLIC_116177_17,1278_OLIC_18_07_25,PKG17,Technical,Opened Successfully,AJAYA KUMAR MISHRA,11-Aug-2025 06:58 PM,technical_547755.pdf,Finance,Opened Successfully,AJAYA KUMAR MISHRA,21-Nov-2025 05:23 PM,finance_547755.pdf,BOQ Comparative Chart,Ajaya Kumar Mishra,Internal,Purusottam Vishwakarma and Saroj Kumar Mohanty,AJAYA KUMAR MISHRA,19-Nov-2025 10:04 AM,19-Nov-2025 10:05 AM,techsummary_547755.pdf (32.88 KB),1,3023606,Akshaya Kumar Patra,04-Aug-2025 06:25 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,15-Dec-2025,"INR 1,489,350",90.0,AJAYA KUMAR MISHRA,01-Mar-2026 03:39 PM,PKG17.pdf (44.00 KB),Revival restoration of Sanla TW under Korai Block,AOC,1.0,ICICI BANK,"14,847",Yes,percentage,1.0%,Nil,Nil,29-Jul-2025 01:00 PM,06-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,29-Jul-2025 01:00 PM ,04-Aug-2025 05:00 PM ,29-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,19-Nov-2025 10:05 AM,"Executive Engineer, L.I.Division, Jajpur Road","O/O Executive Engineer, L.I.Division, Jajpur Road",PKG17,Revival and restoration of Sanla II TW under Korai Block in Jajpur District,Please refer to the DTCN ,NA ,"14,84,720",Civil Works - Lift Irrigation Schemes,Electrical works ,Tender,180.0,90.0,Jajpur Road,755019.0,NA ,NA ,NA ,"O/O Executive Engineer, L.I.Division, Jajpur Road",No ,No,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",1278_OLIC_18_07_25,2025_OLIC_116177_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Civil, Electrical license, Rig documents,Joint venture, Affidavit,EMD,Paper cost as pkg require","7,080",0.0,Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3024279,ANIL KUMAR SAMANTARAY,05-Aug-2025 11:39 AM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN should be filled in capital letter,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3024079,Anushka Infrastructure Prop -Hrushi Kesha Pati,05-Aug-2025 01:30 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3019792,BABAN DAS,02-Aug-2025 08:17 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3023974,Golekha Bihari Aich,05-Aug-2025 10:13 AM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3024008,JAGDEV PANDA,04-Aug-2025 11:54 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3022777,JAY SHREERAM CONSTRUCTION,04-Aug-2025 10:46 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3023872,MENKAR ELCON,04-Aug-2025 10:24 PM,Accepted-AOC,Being L1 Accepted the Tender,01-Mar-2026 03:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3023924,SAGARIKA DAS,05-Aug-2025 02:02 AM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3022056,SANTANU KUMAR SAHOO,03-Aug-2025 12:42 PM,Rejected-AOC,Being L2 and L1 accepted the Tender,01-Mar-2026 03:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
