S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DTCN Corrigendum,Other,,"7,58,560",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",17-Jan-2025 09:00 AM,30-Jan-2025 11:00 AM,17-Jan-2025 09:00 AM,29-Jan-2025 05:00 PM,17-Jan-2025 09:00 AM ,28-Jan-2025 05:00 PM ,17-Jan-2025 09:00 AM,29-Jan-2025 05:00 PM,17-May-2025 01:00 PM,"10,000",0.0,Nil,Nil,No,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-16 OF 2024-25,2025_CERWI_109376_44,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of Khuard Kendukhunta road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25,Construction of Khuard Kendukhunta road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25,Please refer Tender documents. ,NA ,"7,58,56,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Balasore,756001.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE,BALASORE",No ,No,AOC,"CCE R.W.CIRCLE,BALASORE",Internal,"AE Estimator , R.W. Circle,Balasore, PA to CCE, R .W.Circle,Balasore, DAO, RWD, Jaleswar, S.E ,R.W Division, Balasore",Saibalini Singh,15-May-2025 05:51 PM,17-May-2025 01:00 PM,techsummary_526061.pdf (5786.62 KB),Finance,8 Numbers bidder admitted,Subhadra Behera,20-May-2025 06:10 PM,finance_526061.pdf,BOQ Comparative Chart,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR RW CIRCLE, BALASORE AND DAO RW DIVISION, JALESWAR",Durjyodhan Behera,24-Oct-2025 05:00 PM,finsummary_526061.pdf (47.65 KB),Technical,Eleven numbers Bidder Admitted,Subhadra Behera,15-May-2025 05:33 PM,,1.0,Revocation,Revocation,15-May-2025 04:08 PM,1476.pdf ,587.64,Technical Opening,1,2781080,BHAGABAN MOHALIK,27-Jan-2025 08:51 PM,Rejected-Finance,L5,24-Oct-2025 05:00 PM,1.0,2784941.0,Rakesh Agarwalla,INR,"64,485,121",CE RW I||RWCIRCLE-BALASORE,2025_CERWI_109376_44,CCE-BLS-NCB-16 OF 2024-25,Construction of Khuard Kendukhunta road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25,19-Mar-2026,"INR 64,485,121",270.0,Durjyodhan Behera,19-Mar-2026 11:52 AM,593Kendukhunta.pdf (470.00 KB),Work awarded to 1st lowest bidder,AOC
,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2787095,JEETESH RANJAN BEHERA,29-Jan-2025 04:36 PM,Rejected-Technical,Invalid lease agreement with no signature of witness,15-May-2025 05:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2786536,KANAKALATA MOHAPATRA,29-Jan-2025 03:20 PM,Rejected-Technical,Submission of misleading document of machinery,15-May-2025 05:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2783984,MANOJ KUMAR GHOSH,29-Jan-2025 02:14 PM,Rejected-Finance,L5,24-Oct-2025 05:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2785920,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,29-Jan-2025 01:14 PM,Rejected-AOC,L2,19-Mar-2026 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2786046,Pravat Kumar Biswal,29-Jan-2025 12:56 PM,Rejected-Finance,L5,24-Oct-2025 05:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2784941,Rakesh Agarwalla,28-Jan-2025 08:48 PM,Accepted-AOC,L1,19-Mar-2026 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2778491,Ranjit Kumar Behera,26-Jan-2025 02:35 PM,Rejected-Technical,Disqualified,15-May-2025 05:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2773244,SANJAY KUMAR DEY,28-Jan-2025 07:54 PM,Rejected-Finance,L4,24-Oct-2025 05:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2782138,SANJEEB KUMAR NAYAK,27-Jan-2025 10:50 PM,Rejected-Finance,L6,24-Oct-2025 05:00 PM,,,,,,,,,,,,,,,,,AOC
