S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,3326187.0,SUSIL KUMAR MAJHI,INR,"3,478,392",Finance,Total 19 Nos bidder are participated in the online tender,Soumya Ranjan Dwibedi,26-Dec-2025 01:36 PM,,BOQ Comparative Chart,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt. Smita Pal,Soumya Ranjan Dwibedi,18-Mar-2026 04:27 PM,finsummary_572238.pdf (709.66 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_123460_1,TCN No 46 of 2025-26,Construction of 1 No E type quarter at Konark in the District of Puri for the year 2025-26,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,08-Jan-2026 10:55 AM,techsummary_572238.pdf (631.48 KB),1,3326531,ABHIJIT SWAIN,24-Dec-2025 04:30 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,18-Mar-2026,"INR 3,478,392",180.0,Soumya Ranjan Dwibedi,18-Mar-2026 04:40 PM,AoC.pdf (1230.00 KB),The transparency lottery was conducted on dt. 13.01.2026 among the L1 bidder and the bidder Sri Susil Kumar Majhi won the transparency lottery so that the work has been awarded to him,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER, AFFIDAVIT, ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTC",Construction of 1 No E type quarter at Konark in the District of Puri for the year 2025-26,Construction of 1 No E type quarter at Konark in the District of Puri for the year 2025-26,Please refer Tender documents. ,NA ,"40,91,744",Civil Works - Buildings,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,O/o the S E R and B Division Puri,No ,No,18-Dec-2025 02:45 PM,26-Dec-2025 11:00 AM,18-Dec-2025 02:45 PM,24-Dec-2025 05:00 PM,NA ,NA ,18-Dec-2025 02:45 PM,24-Dec-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 46 of 2025-26,2025_EICCL_123460_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Er.Soumya Ranjan Dwibedi,O/o the S E R and B Division Puri,"6,000",0.0,Nil,Nil,No,"40,917",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3326231,CHANDRAKANTA SETHI,24-Dec-2025 02:56 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3325794,DEEPAK KUMAR ACHARYA,24-Dec-2025 12:54 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3326443,JITENDRA PRASAD BEHERA,24-Dec-2025 04:04 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3326332,Lalita Mohanty,24-Dec-2025 04:29 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3325051,M/S RAJALAXMI MOHANTY,23-Dec-2025 06:42 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3326358,OKILA SWAIN,24-Dec-2025 04:09 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3326316,OMPRAKASH SENAPATI,24-Dec-2025 03:50 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3326079,PRIYABRATA PARIDA,24-Dec-2025 02:07 PM,Rejected-Technical,The bidder has not furnished the Schedule A and Schedule E as per DTCN Clause No. 12 and 11,08-Jan-2026 10:55 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3326517,PURNA CHANDRA BEHERA,24-Dec-2025 04:26 PM,Rejected-AOC,Rejected,18-Mar-2026 04:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
