S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Flood protection work to left scoured bank on Jhanjabati Nalla near Picnic spot at Halua.,Flood protection work to left scoured bank on Jhanjabati Nalla near Picnic spot at Halua.,Please refer Tender documents. ,NA ,"42,10,073",Civil Works - Others,NA ,Tender,90.0,210.0,RAYAGADA,765001.0,NA ,NA ,NA ,"O/o the SE, Rayagada Irrigation Division, Rayagada",No ,No,"6,000",0.0,Nil,Nil,No,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||Rayagada Irrigation Division",SE-RID-01/2025-26,2025_CEBMB_122024_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE, Rayagada Irrigation Division, Rayagada","O/o the SE, Rayagada Irrigation Division, Rayagada",27-Nov-2025 10:00 AM,09-Dec-2025 11:00 AM,27-Nov-2025 11:00 AM,06-Dec-2025 05:00 PM,27-Nov-2025 11:00 AM ,06-Dec-2025 05:00 PM ,27-Nov-2025 11:00 AM,06-Dec-2025 05:00 PM,"42,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,AOC,SUBRATA NARAYAN KASHYAP,Internal,BISHNU HEMBRAM JE ESTIMATOR DURJYADHAN JANI A.E.E,Subrata Narayan Kashyap,18-Mar-2026 06:53 PM,finsummary_567338.pdf (465.05 KB),"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||Rayagada Irrigation Division",2025_CEBMB_122024_6,SE-RID-01/2025-26,Flood protection work to left scoured bank on Jhanjabati Nalla near Picnic spot at Halua.,1.0,3282926.0,KARAKARIA GAJENDRA,INR,"3,578,983",Finance,23 Nos Bidder has been participated and their document downloaded successfully,Subrata Narayan Kashyap,12-Dec-2025 07:06 PM,finance_567338.pdf,BOQ Comparative Chart,18-Mar-2026,"INR 3,578,983",210.0,Subrata Narayan Kashyap,18-Mar-2026 08:02 PM,AOChalua.pdf (910.00 KB),1,3271506,ANISHA KAR,02-Dec-2025 09:58 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,SUBRATA NARAYAN KASHYAP,Internal,"BISHNU HEMBRAM JE ESTIMATOR, DURJYADHAN JANI A.E.E",Subrata Narayan Kashyap,18-Mar-2026 11:19 AM,techsummary_567338.pdf (982.36 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"RC, GSTIN, PAN, Affidavit, No Relation ,EMD, No Litigation and debarring etc. as in Bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3271692,ARADHANA CHOUDHURY,02-Dec-2025 11:16 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3279436,BHABANI SANKAR CHOUDHURY,04-Dec-2025 04:56 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3272946,BIBHUTI KUMAR PRADHAN,02-Dec-2025 09:29 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3284604,DEVENDRA BISOI,06-Dec-2025 04:10 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3283622,G DEEPAK KUMAR,06-Dec-2025 10:47 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3282975,JYOTIRAN NAIK,05-Dec-2025 07:14 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3284268,KANHUPRIYA SWAIN,06-Dec-2025 02:08 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3282926,KARAKARIA GAJENDRA,05-Dec-2025 06:51 PM,Accepted-AOC,SUCESSFULLY WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3283808,KARNI SAPNA,06-Dec-2025 11:59 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:02 PM,,,,,,,AOC
