S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,20-Jan-2026 05:00 PM,31-Jan-2026 11:00 AM,20-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM ,30-Jan-2026 03:00 PM ,20-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN","24,900",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN/BLS-II No.09 of 2025-26,2026_CERWI_124808_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer,R.W.Division_II,Balasore","O/o the Superintending Engineer,R.W.Division_II,Balasore",S/R to Asmila - Gandasthapur for the year 2025-26,S/R to Asmila - Gandasthapur for the year 2025-26,Please refer Tender documents. ,NA ,"24,89,976",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the S.E,R.W.Division_II,Balasore",No ,No,AOC,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2026_CERWI_124808_8,E-TCN/BLS-II No.09 of 2025-26,S/R to Asmila - Gandasthapur for the year 2025-26,"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,17-Feb-2026 05:50 PM,finsummary_576898.pdf (388.25 KB),Finance,All tender documents are download,Sujata Behera,10-Feb-2026 05:15 PM,finance_576898.pdf,BOQ Comparative Chart,1.0,3373117.0,ARUN KUMAR NAYAK,INR,"2,116,728.24",16-Mar-2026,"INR 2,116,728.24",30.0,Amir Kumar Sethy,16-Mar-2026 04:55 PM,8AsmilaGandastapur.pdf (427.00 KB),Awarded through lottery winner vide Agrt No.194 P1 of 2025-26,1,3373117,ARUN KUMAR NAYAK,29-Jan-2026 10:12 PM,Accepted-AOC,Awarded through lottery winner vide Agrt No.194 P1 of 2025-26,16-Mar-2026 04:56 PM,"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,13-Feb-2026 04:48 PM,techsummary_576898.pdf (388.25 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3370762,ASHWINI KUMAR MOHANTY,29-Jan-2026 11:45 AM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3372081,BASANTA KUMAR PATRA,29-Jan-2026 04:01 PM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3371993,BENIMADHAB BIHARI,29-Jan-2026 04:42 PM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3366467,KRUSNA CHANDRA SINGH,27-Jan-2026 05:28 PM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3366461,KRUTIBAS MOHANTY,30-Jan-2026 11:43 AM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3364721,MAHASWETA MALIK,26-Jan-2026 03:03 PM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3370854,MALATI NAYAK,30-Jan-2026 04:11 PM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3370853,MONALI PRAVA MUNDA,30-Jan-2026 11:21 AM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3368468,PRADEEP KUMAR MAJHI,30-Jan-2026 11:46 AM,Rejected-AOC,Rejected,16-Mar-2026 04:56 PM,,,,,,,AOC
